Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-03-11,MIL,NYK,0,33,5.27,2,1,0,0,2,2,0,1,0,2,2
2021-03-22,MIL,IND,0,27,3.88,0,0,0,0,1,0,0,1,0,1,0
2021-03-26,MIL,BOS,0,-8,7.4,3,1,1,0,3,0,0,0,0,0,2
2021-03-27,MIL,NYK,0,-6,23.3,9,4,2,0,7,2,0,2,0,2,8
2021-03-29,MIL,LAC,1,-24,9.2,2,1,0,0,1,0,0,0,0,0,2
2021-03-31,MIL,LAL,1,15,6.72,2,1,1,1,1,0,0,0,1,2,3
2021-04-08,MIL,DAL,1,-15,1.4,0,0,0,0,1,0,0,0,0,0,0
2021-04-09,MIL,CHO,0,-8,22.85,5,2,2,0,5,1,2,0,1,1,10
2021-04-11,MIL,ORL,1,37,5.02,1,0,0,0,3,0,0,0,0,1,0
2021-04-14,MIL,MIN,1,25,8.35,2,0,0,0,1,1,1,1,1,3,0
2021-04-17,MIL,MEM,0,-13,1.48,1,0,1,0,0,0,0,0,0,0,0
2021-04-24,MIL,PHI,0,38,6.97,2,2,0,0,2,0,1,0,0,0,4
2021-05-15,MIL,MIA,0,14,1.0,0,0,0,0,0,1,0,0,0,0,0
2021-05-16,MIL,CHI,1,-6,38.22,11,4,1,0,7,1,3,1,0,4,13
