Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CLE,CHO,0,7,33.57,9,5,1,1,13,8,3,2,2,4,13
2020-12-26,CLE,DET,1,9,24.5,3,0,2,0,7,2,2,0,1,1,0
2020-12-27,CLE,PHI,0,24,35.37,6,5,4,3,4,5,2,0,4,3,13
2020-12-29,CLE,NYK,0,-9,42.57,11,4,6,1,6,3,4,2,1,2,9
2020-12-31,CLE,IND,1,-20,35.98,9,4,4,1,5,7,2,1,2,3,10
2021-01-02,CLE,ATL,1,5,36.62,10,3,4,1,11,6,3,0,1,1,9
2021-01-04,CLE,ORL,1,-20,34.17,6,2,3,0,3,3,2,0,0,0,4
2021-01-06,CLE,ORL,1,-11,32.62,7,4,3,1,3,1,1,0,2,4,10
2021-01-07,CLE,MEM,1,4,34.83,7,7,4,4,3,4,3,0,2,1,18
2021-01-09,CLE,MIL,1,-10,39.68,11,6,6,3,3,2,4,1,3,2,17
2021-01-11,CLE,MEM,0,-10,38.0,7,5,3,3,5,3,2,0,2,1,13
2021-01-12,CLE,UTA,0,-30,29.9,11,2,5,1,7,0,1,0,2,1,6
2021-01-15,CLE,NYK,0,3,44.07,10,6,4,2,9,5,2,1,4,3,14
2021-01-20,CLE,BRK,0,12,45.08,10,5,5,3,8,5,4,0,0,2,15
2021-01-22,CLE,BRK,0,12,31.05,11,7,2,0,10,1,1,1,0,2,15
2021-01-24,CLE,BOS,1,-38,12.6,2,1,1,0,3,1,0,0,0,3,2
2021-01-29,CLE,NYK,1,-21,29.0,9,1,5,0,8,0,1,1,0,2,2
2021-01-31,CLE,MIN,1,-5,32.07,3,1,0,0,16,4,0,1,2,3,2
2021-02-06,CLE,MIL,0,-25,23.37,3,2,1,0,5,1,0,0,0,3,4
2021-03-12,CLE,NOP,1,-34,28.47,8,4,4,2,4,1,0,1,1,0,11
2021-03-14,CLE,ATL,1,-18,25.72,7,2,3,0,4,1,1,0,3,2,4
2021-03-16,CLE,MIA,1,-15,37.55,10,5,4,1,9,4,1,1,3,2,14
2021-03-17,CLE,BOS,0,7,36.53,8,7,3,2,10,4,2,1,2,4,18
2021-03-19,CLE,SAS,0,-6,33.87,8,3,2,0,4,1,3,1,0,3,7
2021-03-21,CLE,TOR,0,11,31.85,8,4,5,2,7,2,1,1,2,1,10
2021-03-22,CLE,SAC,0,-14,25.27,6,2,1,0,5,2,3,0,1,1,4
2021-03-24,CLE,CHI,1,9,34.48,11,5,4,2,14,5,2,1,0,2,14
2021-03-26,CLE,LAL,1,-14,27.22,13,7,2,1,10,5,0,1,2,4,17
2021-03-27,CLE,SAC,1,-2,33.7,12,6,4,2,9,5,2,0,2,1,17
2021-04-14,CLE,CHO,1,13,19.57,7,1,3,0,2,1,4,0,2,2,5
2021-04-15,CLE,GSW,0,-18,23.75,3,1,2,1,5,1,2,0,2,1,3
2021-04-17,CLE,CHI,1,-10,27.05,4,3,2,1,4,6,1,0,1,2,7
2021-04-21,CLE,CHI,0,16,21.82,7,4,5,2,4,1,1,0,1,1,10
2021-04-23,CLE,CHO,1,-6,27.08,8,2,4,1,8,2,1,0,3,1,5
2021-04-25,CLE,WAS,1,-9,22.52,7,2,3,0,7,5,0,0,2,4,5
