Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DAL,PHO,1,-4,6.03,1,1,0,0,2,1,0,0,0,1,2
2020-12-25,DAL,LAL,1,-23,14.08,3,0,0,0,2,0,2,1,1,3,0
2020-12-27,DAL,LAC,1,51,18.02,5,3,1,0,6,2,0,1,0,0,9
2020-12-30,DAL,CHO,0,-19,9.35,2,2,0,0,3,0,0,0,1,4,5
2021-01-01,DAL,MIA,0,10,11.1,1,0,0,0,3,0,0,0,2,2,0
2021-01-03,DAL,CHI,1,-10,11.73,5,4,0,0,4,0,0,0,0,6,8
2021-01-04,DAL,HOU,1,13,24.13,7,5,0,0,7,2,1,1,0,4,15
2021-01-07,DAL,DEN,1,7,26.27,1,1,0,0,9,1,0,1,0,4,5
2021-01-09,DAL,ORL,0,14,23.32,5,2,0,0,7,2,0,0,1,2,6
2021-01-13,DAL,CHO,1,11,29.77,2,2,0,0,14,2,1,3,2,1,4
2021-01-15,DAL,MIL,1,-3,30.48,7,5,0,0,10,1,0,1,0,4,11
2021-01-17,DAL,CHI,0,-16,27.1,8,5,1,0,5,0,0,0,1,2,10
2021-01-18,DAL,TOR,1,-23,19.38,5,2,0,0,3,0,1,0,3,4,6
2021-01-20,DAL,IND,1,12,18.92,9,4,0,0,5,2,2,2,0,3,10
2021-01-22,DAL,SAS,1,5,14.53,4,3,0,0,4,1,0,0,0,2,7
2021-01-23,DAL,HOU,0,-25,18.27,4,3,0,0,3,0,0,1,0,3,6
2021-01-25,DAL,DEN,0,-4,26.53,3,0,0,0,3,1,1,0,0,3,2
2021-01-27,DAL,UTA,1,-12,3.05,1,1,0,0,1,0,0,0,0,1,2
2021-01-29,DAL,UTA,1,-19,9.18,0,0,0,0,3,0,0,0,1,1,0
2021-01-30,DAL,PHO,0,-6,29.73,8,7,0,0,9,2,0,4,1,6,14
2021-02-01,DAL,PHO,0,-1,13.77,2,2,0,0,1,0,0,0,0,0,4
2021-02-03,DAL,ATL,1,6,10.88,1,1,0,0,2,1,0,2,0,3,2
2021-02-04,DAL,GSW,0,-31,5.58,2,1,2,1,0,0,0,0,1,0,3
2021-02-10,DAL,ATL,0,1,23.43,6,5,0,0,6,0,0,0,0,2,14
2021-02-12,DAL,NOP,0,13,13.03,4,3,1,0,3,2,0,0,0,3,6
2021-02-14,DAL,POR,0,-3,16.45,3,0,0,0,5,0,1,2,0,1,2
2021-02-22,DAL,MEM,0,10,20.83,3,1,0,0,6,0,1,1,1,3,4
2021-02-23,DAL,BOS,0,3,23.93,2,2,0,0,4,0,0,1,0,2,5
2021-02-25,DAL,PHI,1,-14,17.13,4,1,1,0,5,2,0,0,1,1,2
2021-02-27,DAL,BRK,1,17,16.97,3,3,0,0,4,1,0,2,0,1,6
2021-03-01,DAL,ORL,1,6,3.83,1,1,0,0,1,1,0,0,0,1,2
2021-03-10,DAL,SAS,0,11,13.85,6,5,0,0,2,0,0,0,0,2,10
2021-03-11,DAL,OKC,1,-8,20.15,2,0,1,0,4,2,0,2,0,1,0
2021-03-15,DAL,LAC,0,-10,16.22,5,3,0,0,2,0,1,1,0,2,6
2021-03-17,DAL,LAC,0,16,11.92,2,1,1,0,2,0,0,2,0,2,4
2021-04-12,DAL,PHI,0,-18,10.08,1,0,0,0,2,0,0,0,1,3,0
2021-04-18,DAL,SAC,0,-14,5.27,1,1,0,0,3,0,0,0,0,1,4
2021-04-21,DAL,DET,0,10,12.93,4,3,0,0,4,1,0,1,0,6,8
2021-04-22,DAL,LAL,0,5,31.08,7,4,1,0,8,1,1,2,0,1,11
2021-04-24,DAL,LAL,0,15,19.43,2,2,0,0,2,1,0,0,2,3,8
2021-04-26,DAL,SAC,1,-7,26.78,6,4,0,0,7,0,3,1,1,1,8
2021-04-27,DAL,GSW,1,30,23.2,4,3,0,0,5,0,0,2,0,2,6
2021-04-29,DAL,DET,1,10,11.68,1,0,0,0,1,0,0,0,1,4,0
2021-05-01,DAL,WAS,0,1,26.77,5,3,1,0,12,0,2,2,1,4,6
2021-05-02,DAL,SAC,0,-12,9.3,0,0,0,0,4,0,0,0,1,1,1
2021-05-04,DAL,MIA,1,14,18.25,2,1,0,0,3,1,0,0,0,1,2
2021-05-06,DAL,BRK,0,4,20.82,6,3,0,0,8,2,1,2,1,2,6
2021-05-07,DAL,CLE,0,20,22.83,2,1,1,0,6,1,2,2,0,1,3
2021-05-09,DAL,CLE,1,27,16.55,2,2,0,0,7,1,0,1,1,5,4
2021-05-11,DAL,MEM,1,-29,15.15,8,7,0,0,8,1,0,0,1,2,16
2021-05-12,DAL,NOP,0,18,13.22,3,2,0,0,2,0,1,1,1,4,5
2021-05-14,DAL,TOR,0,4,14.25,0,0,0,0,2,0,0,0,1,4,0
2021-05-16,DAL,MIN,1,-15,9.38,1,0,0,0,2,0,0,1,1,4,0
