Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CHO,CLE,1, -7,21:01,3,2,0,0,5,4,0,0,0,1,5
2020-12-26,CHO,OKC,0, -2,16:11,0,0,0,0,3,1,0,0,0,1,0
2020-12-27,CHO,BRK,0, +2,17:43,6,2,3,0,6,4,0,0,1,1,4
2020-12-30,CHO,DAL,1, +19,7:36,2,2,0,0,0,0,1,0,1,1,4
2021-01-01,CHO,MEM,0, -15,15:13,4,2,1,0,1,1,1,0,0,0,4
2021-01-06,CHO,ATL,1, +8,11:01,2,0,1,0,2,0,0,0,0,0,2
2021-01-08,CHO,NOP,1, +8,8:35,2,1,1,0,1,2,1,0,1,1,4
2021-01-09,CHO,ATL,0, +8,5:10,1,1,1,1,0,0,1,0,2,0,3
2021-01-11,CHO,NYK,0, +21,6:20,3,1,2,0,2,1,0,0,1,1,3
2021-01-13,CHO,DAL,0, -11,11:06,5,4,1,1,4,1,1,0,0,0,9
2021-01-14,CHO,TOR,1, -3,5:32,0,0,0,0,1,0,0,0,0,0,0
2021-01-30,CHO,MIL,0, +12,1:12,0,0,0,0,2,0,0,0,0,0,0
2021-02-03,CHO,PHI,0, -7,4:02,0,0,0,0,0,0,0,0,0,1,0
2021-02-05,CHO,UTA,0, -17,4:48,1,0,1,0,0,0,0,0,0,1,0
2021-02-07,CHO,WAS,0, +22,8:28,3,0,1,0,1,0,0,0,1,0,2
2021-02-08,CHO,HOU,0, +25,3:27,2,1,0,0,4,0,0,0,1,0,2
2021-02-10,CHO,MEM,1, -16,12:00,4,4,1,1,2,2,2,0,1,1,9
2021-02-22,CHO,UTA,1, -22,3:02,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,CHO,PHO,1, +3,0:21,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,CHO,GSW,1, -9,24:58,8,4,2,0,5,2,1,0,2,2,8
2021-02-28,CHO,SAC,1, +1,27:15,5,4,2,1,1,3,1,1,3,1,9
2021-03-01,CHO,POR,1, -12,26:50,9,4,2,0,9,2,2,0,1,1,8
2021-03-03,CHO,MIN,1, +33,25:48,4,1,1,0,5,1,1,3,0,0,2
2021-03-11,CHO,DET,0, +3,10:04,3,2,1,1,2,0,0,0,0,3,5
2021-03-13,CHO,TOR,0, +10,13:55,3,1,3,1,3,3,0,0,0,0,3
2021-03-15,CHO,SAC,0, +6,15:41,4,4,0,0,2,0,0,0,0,2,9
2021-03-17,CHO,DEN,1, -25,19:08,3,1,1,0,4,4,0,0,2,2,4
2021-03-18,CHO,LAL,1, -11,7:07,2,2,1,1,0,0,1,0,0,1,5
2021-03-20,CHO,LAC,1, -27,29:42,7,2,2,0,5,4,2,0,0,2,5
2021-03-22,CHO,SAS,1, +3,16:18,3,2,1,1,3,1,0,1,0,1,6
2021-03-24,CHO,HOU,1, +25,32:06,12,3,3,1,6,2,0,0,2,2,8
2021-03-26,CHO,MIA,0, +5,15:03,1,0,1,0,2,4,0,0,1,2,0
2021-03-28,CHO,PHO,0, -4,26:15,6,3,0,0,6,4,2,1,1,1,8
2021-03-30,CHO,WAS,1, +10,20:35,3,1,1,0,2,2,2,0,1,2,2
2021-04-01,CHO,BRK,1, -22,18:22,7,1,3,1,2,3,3,0,0,1,3
2021-04-02,CHO,IND,1, +17,19:00,1,0,0,0,2,3,0,0,0,1,0
2021-04-04,CHO,BOS,1, -30,17:24,6,2,2,1,2,0,0,0,0,0,6
2021-04-07,CHO,OKC,1, +11,15:46,4,1,1,0,0,1,0,1,0,0,3
2021-04-09,CHO,MIL,1, +8,12:31,4,1,3,1,4,0,0,1,2,0,3
2021-04-11,CHO,ATL,0, -4,8:36,2,1,0,0,2,0,0,0,1,0,2
2021-04-13,CHO,LAL,0, -8,20:40,6,3,3,0,3,1,0,0,2,2,6
2021-04-14,CHO,CLE,0, -13,7:32,0,0,0,0,1,0,0,0,0,1,0
2021-04-16,CHO,BRK,1, -15,35:02,6,2,1,0,5,5,2,1,3,1,6
2021-04-18,CHO,POR,0, +8,38:03,5,2,2,1,7,7,1,0,1,1,5
2021-04-20,CHO,NYK,1, -12,24:17,4,2,0,0,6,3,1,0,1,1,4
2021-04-22,CHO,CHI,1, -17,18:16,1,1,0,0,3,2,0,0,0,2,2
2021-04-23,CHO,CLE,0, +6,23:51,4,2,0,0,3,0,1,0,1,2,6
2021-04-25,CHO,BOS,0, +21,31:01,9,5,2,1,10,5,1,2,1,1,13
2021-04-27,CHO,MIL,0, -10,30:30,9,4,3,1,8,1,4,0,3,3,10
2021-04-28,CHO,BOS,1, -9,24:04,5,2,2,1,9,3,1,0,2,1,5
2021-05-01,CHO,DET,0, +13,23:46,4,0,2,0,4,3,4,1,1,2,0
2021-05-02,CHO,MIA,0, -10,6:49,0,0,0,0,1,1,0,0,0,2,0
