Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,LAC,LAL,1,7,20.55,7,5,3,2,3,5,2,6,0,0,1,1,3,15,-8
2020-12-25,LAC,DEN,1,13,21.48,9,6,2,2,1,1,0,2,2,0,1,1,4,15,10
2020-12-27,LAC,DAL,0,-51,19.53,11,6,4,0,1,2,1,9,1,0,1,0,2,13,-14
2020-12-29,LAC,MIN,0,23,21.65,12,7,2,0,2,2,0,8,4,0,2,1,1,16,16
2020-12-30,LAC,POR,0,23,23.15,11,4,5,3,0,0,2,8,3,1,1,1,3,11,20
2021-01-01,LAC,UTA,1,-6,33.58,12,5,6,1,2,2,1,4,1,0,2,1,0,13,2
2021-01-03,LAC,PHO,1,5,24.68,6,2,3,2,2,2,3,7,1,0,0,2,5,8,-8
2021-01-05,LAC,SAS,0,-3,25.3,7,1,2,0,1,2,1,5,1,1,2,1,1,3,10
2021-01-06,LAC,GSW,1,7,34.52,13,5,4,1,1,1,3,14,1,1,1,3,3,12,13
2021-01-08,LAC,GSW,1,-10,30.33,12,9,2,1,0,0,3,7,2,0,1,1,1,19,14
2021-01-10,LAC,CHI,0,3,26.45,10,5,2,0,0,0,3,5,1,0,0,2,2,10,-2
2021-01-13,LAC,NOP,0,5,26.2,8,5,2,1,1,1,0,3,2,0,2,2,2,12,2
2021-01-15,LAC,SAC,1,38,18.1,4,3,1,0,0,0,1,3,5,0,1,1,3,6,18
2021-01-20,LAC,SAC,0,19,23.15,6,1,1,0,6,6,1,6,1,1,1,2,0,8,4
2021-01-22,LAC,OKC,0,14,27.67,8,7,2,1,2,2,4,11,1,0,0,1,2,17,0
2021-01-24,LAC,OKC,0,8,22.37,8,7,2,2,1,2,2,6,1,0,0,1,2,17,11
2021-01-26,LAC,ATL,1,-9,28.87,15,6,3,1,2,2,4,5,3,0,3,3,2,15,-3
2021-01-28,LAC,MIA,1,4,26.05,13,4,4,2,0,0,5,13,3,1,1,2,1,10,16
2021-01-29,LAC,ORL,1,26,23.43,10,6,2,0,1,1,1,9,1,0,3,1,0,13,24
2021-01-31,LAC,NYK,1,14,23.68,6,5,4,3,2,3,1,3,1,0,1,1,2,15,9
2021-02-02,LAC,BRK,1,-4,20.83,11,3,2,1,2,2,3,10,1,0,2,0,2,9,1
2021-02-03,LAC,CLE,1,22,20.27,8,6,3,2,0,0,1,4,3,0,2,0,4,14,18
2021-02-05,LAC,BOS,0,-4,27.55,7,3,4,1,0,0,1,7,2,0,2,3,3,7,-2
2021-02-07,LAC,SAC,0,-3,20.18,9,3,1,0,0,1,3,8,0,0,2,1,0,6,-6
2021-02-10,LAC,MIN,1,7,20.13,4,4,0,0,2,2,3,3,2,0,0,0,2,10,6
2021-02-12,LAC,CHI,1,19,22.37,9,4,3,1,0,0,1,5,1,1,2,1,0,9,5
2021-02-14,LAC,CLE,0,17,29.1,14,9,2,0,3,4,2,9,6,0,2,2,1,21,20
2021-02-15,LAC,MIA,0,7,19.6,8,3,2,0,1,1,2,9,0,1,0,3,2,7,-7
2021-02-17,LAC,UTA,0,-18,20.67,10,4,4,2,0,0,1,4,0,0,0,0,1,10,-2
2021-02-19,LAC,UTA,0,4,22.43,11,4,5,1,0,0,1,9,4,0,0,0,1,9,-7
2021-02-21,LAC,BRK,0,-4,20.88,8,4,2,0,0,0,1,8,2,0,1,1,1,8,-3
2021-02-23,LAC,WAS,0,19,19.68,6,3,2,0,0,0,1,6,2,0,2,1,3,6,4
2021-02-25,LAC,MEM,1,-28,22.65,7,5,4,3,0,0,1,7,0,0,0,1,1,13,-6
2021-02-26,LAC,MEM,1,20,27.23,9,6,3,0,0,0,0,4,3,1,2,0,2,12,14
2021-02-28,LAC,MIL,1,-5,26.75,13,6,7,3,0,0,2,11,0,1,2,0,3,15,-2
2021-03-02,LAC,BOS,1,-5,28.15,9,3,3,1,0,0,0,3,2,0,2,0,4,7,16
2021-03-04,LAC,WAS,1,-2,18.23,2,0,1,0,0,0,1,5,3,0,1,1,4,0,-22
2021-03-11,LAC,GSW,0,26,22.97,12,7,3,1,1,1,6,14,1,0,0,2,1,16,10
2021-03-14,LAC,NOP,1,-20,8.28,2,0,1,0,0,0,0,1,1,0,0,0,0,0,-8
2021-05-14,LAC,HOU,1,-7,17.25,8,6,1,0,3,4,3,7,4,0,0,0,1,15,-5
2021-05-16,LAC,OKC,1,-5,18.77,10,4,6,1,3,4,2,7,2,0,1,0,1,12,-1
