Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-25,MIL,GSW,0,39,9.77,1,0,0,0,4,0,0,0,1,2,0
2020-12-27,MIL,NYK,1,-20,2.73,0,0,0,0,0,2,0,1,0,0,0
2021-01-24,MIL,ATL,0,14,13.45,3,2,1,0,2,2,1,0,0,2,4
2021-01-27,MIL,TOR,1,7,13.27,2,1,0,0,4,2,0,1,1,2,2
2021-01-29,MIL,NOP,1,-5,4.83,2,0,0,0,0,1,0,0,0,1,0
2021-01-30,MIL,CHO,1,-12,6.57,2,0,2,0,1,0,0,0,2,0,0
2021-02-01,MIL,POR,0,28,13.53,2,0,2,0,5,1,0,2,0,1,0
2021-02-03,MIL,IND,0,20,16.47,6,3,3,2,3,0,3,1,0,3,8
2021-02-05,MIL,CLE,1,18,10.27,5,2,1,0,8,1,1,0,0,1,4
2021-02-06,MIL,CLE,1,25,14.22,4,3,1,0,2,0,1,0,0,2,6
2021-02-08,MIL,DEN,1,13,23.08,3,3,3,3,5,2,1,0,0,1,9
2021-02-10,MIL,PHO,1,-1,14.72,2,1,2,1,1,0,0,0,0,4,4
2021-02-12,MIL,UTA,1,-14,10.6,3,2,2,2,1,0,0,0,1,2,6
2021-02-14,MIL,OKC,1,-5,13.4,1,0,1,0,2,1,0,0,0,1,0
2021-02-16,MIL,TOR,0,-11,8.08,1,0,0,0,1,0,1,0,0,1,0
2021-02-18,MIL,TOR,0,-14,7.33,3,0,1,0,0,0,1,0,0,0,0
2021-03-02,MIL,DEN,0,-31,11.18,3,0,2,0,3,1,0,1,0,0,0
2021-03-11,MIL,NYK,0,33,7.47,3,1,1,0,1,3,0,1,0,1,2
2021-03-21,PHO,LAL,0,17,6.85,1,1,0,0,1,0,0,0,0,3,2
2021-03-23,PHO,MIA,1,10,20.7,7,4,3,2,3,1,0,0,0,2,10
2021-03-24,PHO,ORL,1,-1,19.28,7,4,2,2,8,2,1,1,1,2,10
2021-03-26,PHO,TOR,1,4,11.67,5,1,4,0,2,3,0,0,0,2,4
2021-03-28,PHO,CHO,1,4,21.23,6,4,2,1,4,1,2,1,1,2,9
2021-03-30,PHO,ATL,0,7,18.78,11,6,2,0,8,1,0,0,1,1,12
2021-03-31,PHO,CHI,0,5,15.88,3,0,1,0,3,0,1,0,0,2,0
2021-04-02,PHO,OKC,0,37,19.37,4,3,1,1,4,0,3,0,1,2,7
2021-04-05,PHO,HOU,1,3,14.85,4,1,2,0,3,0,1,0,0,3,2
2021-04-07,PHO,UTA,0,4,11.73,3,2,3,2,5,1,0,1,0,1,7
2021-04-08,PHO,LAC,1,-10,15.98,2,2,0,0,2,1,1,2,1,1,4
2021-04-10,PHO,WAS,0,28,14.83,3,1,3,1,4,2,0,0,1,1,3
2021-04-12,PHO,HOU,0,6,11.27,3,1,3,1,5,0,1,0,0,0,3
2021-04-13,PHO,MIA,0,20,20.32,6,5,3,2,6,1,1,0,1,2,14
2021-04-15,PHO,SAC,0,8,15.85,5,3,2,1,2,1,0,1,1,1,7
2021-04-17,PHO,SAS,0,-26,16.1,7,3,4,1,5,0,0,0,0,0,7
2021-04-19,PHO,MIL,1,1,14.1,3,2,2,1,5,0,2,1,2,2,5
2021-04-21,PHO,PHI,1,3,17.32,4,2,2,0,7,3,0,1,0,2,4
2021-04-22,PHO,BOS,1,-13,22.0,8,3,4,1,5,0,0,0,2,3,7
2021-04-25,PHO,BRK,1,-9,31.78,9,6,4,2,14,0,0,1,1,3,20
2021-04-26,PHO,NYK,1,8,17.73,4,1,2,1,1,3,0,0,0,1,3
2021-04-28,PHO,LAC,0,8,29.95,9,4,4,2,6,1,1,2,2,1,10
2021-04-30,PHO,UTA,0,21,16.05,3,0,2,0,3,1,0,3,0,1,0
2021-05-02,PHO,OKC,1,3,30.98,10,8,2,1,10,1,1,2,0,1,18
2021-05-04,PHO,CLE,1,16,21.82,10,4,3,1,5,0,0,1,1,4,9
2021-05-05,PHO,ATL,1,-32,22.05,4,1,4,1,3,0,0,0,2,3,3
2021-05-07,PHO,NYK,0,23,28.95,10,3,6,1,6,2,1,0,1,1,7
2021-05-09,PHO,LAL,1,-13,9.02,4,1,2,0,4,0,0,0,1,2,2
2021-05-11,PHO,GSW,1,-6,23.0,5,2,3,2,4,2,0,1,0,1,8
2021-05-13,PHO,POR,0,1,15.27,4,3,3,2,1,1,0,0,0,3,10
2021-05-15,PHO,SAS,1,37,18.05,6,5,2,1,9,1,2,0,0,1,11
2021-05-16,PHO,SAS,1,2,29.65,11,5,4,1,6,4,1,1,0,5,11
