Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,LAC,LAL,1,7,0.93,0,0,0,0,0,0,0,0,0,0,0
2020-12-25,LAC,DEN,1,13,0.63,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,LAC,DAL,0,-51,15.18,3,1,3,1,2,0,1,0,0,2,5
2020-12-29,LAC,MIN,0,23,7.85,4,0,2,0,2,0,0,0,2,3,0
2020-12-30,LAC,POR,0,23,6.85,2,0,1,0,0,2,1,1,0,2,0
2021-01-06,LAC,GSW,1,7,0.52,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,LAC,GSW,1,-10,0.72,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,LAC,SAC,1,38,6.62,4,1,2,0,0,0,0,0,0,2,2
2021-01-17,LAC,IND,0,33,5.1,0,0,0,0,2,0,0,1,0,0,1
2021-01-20,LAC,SAC,0,19,2.33,1,1,1,1,1,0,0,0,0,0,3
2021-01-22,LAC,OKC,0,14,0.85,0,0,0,0,0,0,0,0,0,1,0
2021-01-29,LAC,ORL,1,26,3.72,2,2,0,0,2,1,0,0,1,1,4
2021-01-31,LAC,NYK,1,14,1.63,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,LAC,CLE,1,22,3.93,2,0,1,0,0,0,0,0,0,1,0
2021-02-12,LAC,CHI,1,19,3.22,1,0,1,0,0,0,0,0,1,0,0
2021-02-14,LAC,CLE,0,17,4.02,1,0,0,0,1,0,0,0,1,2,0
2021-02-17,LAC,UTA,0,-18,5.27,3,1,1,0,1,0,0,0,0,0,2
2021-02-23,LAC,WAS,0,19,3.62,1,1,1,1,0,1,0,0,0,0,3
2021-02-25,LAC,MEM,1,-28,6.45,2,0,2,0,0,0,0,1,0,0,0
2021-02-26,LAC,MEM,1,20,1.65,0,0,0,0,0,1,0,0,0,0,0
2021-03-11,LAC,GSW,0,26,4.7,2,1,0,0,2,0,0,0,1,3,4
2021-03-17,LAC,DAL,1,-16,1.45,1,0,1,0,0,0,0,0,0,0,0
2021-03-20,LAC,CHO,0,27,6.52,3,1,2,1,1,0,0,0,0,1,3
2021-04-10,CLE,TOR,0,-20,3.48,1,1,1,1,1,0,1,0,0,0,3
2021-04-11,CLE,NOP,0,-7,16.47,3,1,2,0,4,1,1,0,1,4,2
2021-04-15,CLE,GSW,0,-18,1.3,0,0,0,0,0,0,0,0,0,0,0
2021-04-21,CLE,CHI,0,16,2.88,1,0,1,0,0,0,0,0,0,0,2
2021-04-26,CLE,TOR,1,-16,8.82,3,1,1,0,0,1,0,1,0,2,2
2021-04-28,CLE,ORL,0,-5,11.3,4,3,3,2,3,2,0,0,0,0,8
2021-04-30,CLE,WAS,0,-29,21.35,5,3,2,1,5,3,2,2,3,1,7
2021-05-01,CLE,MIA,0,-17,12.3,1,0,1,0,0,0,0,1,0,2,0
2021-05-04,CLE,PHO,0,-16,4.73,1,1,1,1,1,0,0,0,0,2,5
2021-05-05,CLE,POR,0,-36,6.62,5,0,4,0,0,1,0,0,0,1,0
2021-05-07,CLE,DAL,1,-20,3.33,2,1,0,0,2,0,0,0,0,0,2
2021-05-09,CLE,DAL,0,-27,23.03,7,5,2,1,4,1,0,0,1,0,14
2021-05-10,CLE,IND,0,-9,15.75,8,3,4,2,4,1,1,0,0,1,9
2021-05-12,CLE,BOS,0,8,15.7,6,1,4,0,5,1,0,3,0,0,2
2021-05-14,CLE,WAS,1,-15,20.85,5,1,5,1,7,0,1,0,3,4,4
2021-05-16,CLE,BRK,1,-14,18.28,5,3,1,0,10,1,0,3,1,1,8
