Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CHO,CLE,1, -7,18:57,6,3,2,0,3,0,3,1,1,1,6
2021-01-22,CHO,CHI,0, -13,10:56,4,2,1,0,4,0,0,0,2,1,5
2021-01-24,CHO,ORL,1, +3,14:47,7,2,2,0,7,4,0,1,0,1,4
2021-01-25,CHO,ORL,1, -9,18:03,3,2,1,0,7,1,0,0,0,2,11
2021-01-27,CHO,IND,0, -10,29:40,10,5,1,0,14,4,1,0,0,3,10
2021-01-29,CHO,IND,0, +3,25:35,11,6,0,0,6,1,1,1,1,4,12
2021-01-30,CHO,MIL,0, +12,34:26,9,3,1,0,15,7,0,1,1,2,7
2021-02-01,CHO,MIA,1, +8,39:24,15,8,1,0,12,2,1,2,1,3,19
2021-02-03,CHO,PHI,0, -7,31:01,9,3,1,0,8,4,0,1,0,5,9
2021-02-05,CHO,UTA,0, -17,22:34,7,2,1,0,7,4,1,0,1,2,6
2021-02-07,CHO,WAS,0, +22,19:58,9,6,3,1,7,2,2,0,0,4,16
2021-02-08,CHO,HOU,0, +25,26:13,6,5,0,0,7,1,0,0,1,2,10
2021-02-10,CHO,MEM,1, -16,22:37,9,4,1,1,3,4,1,0,2,3,9
2021-02-12,CHO,MIN,0, +6,25:03,8,7,1,1,8,1,0,1,3,3,17
2021-02-14,CHO,SAS,0, -12,21:51,7,5,0,0,12,2,0,1,1,1,10
2021-02-20,CHO,GSW,0, +2,21:05,4,2,1,0,5,2,0,0,3,4,5
2021-02-22,CHO,UTA,1, -22,20:46,9,3,1,0,7,3,0,0,3,4,8
2021-02-24,CHO,PHO,1, +3,18:19,9,5,1,0,4,2,1,2,0,2,10
2021-03-11,CHO,DET,0, +3,26:17,11,5,0,0,7,1,0,0,0,0,15
2021-03-13,CHO,TOR,0, +10,22:52,4,4,0,0,7,1,2,0,2,3,10
2021-03-15,CHO,SAC,0, +6,18:48,7,1,0,0,9,6,0,0,1,1,3
2021-03-17,CHO,DEN,1, -25,17:56,8,3,1,0,3,2,2,0,1,2,6
2021-03-18,CHO,LAL,1, -11,11:18,2,2,0,0,2,0,0,0,0,1,4
2021-03-24,CHO,HOU,1, +25,15:39,4,1,0,0,7,1,0,0,0,4,8
2021-03-26,CHO,MIA,0, +5,12:11,2,2,0,0,7,0,2,0,0,2,5
2021-03-28,CHO,PHO,0, -4,11:24,1,1,0,0,1,0,1,0,0,1,2
2021-03-30,CHO,WAS,1, +10,24:01,13,7,1,0,13,2,0,0,1,4,16
2021-04-01,CHO,BRK,1, -22,20:36,3,2,1,0,5,2,2,0,0,0,6
2021-04-02,CHO,IND,1, +17,27:50,7,7,0,0,4,1,1,0,0,4,17
2021-04-04,CHO,BOS,1, -30,13:29,5,3,0,0,7,1,1,0,2,1,7
2021-04-07,CHO,OKC,1, +11,28:06,11,6,0,0,14,2,1,0,1,1,15
2021-04-09,CHO,MIL,1, +8,21:32,8,5,0,0,12,3,0,3,2,3,10
2021-04-11,CHO,ATL,0, -4,16:04,2,0,1,0,9,2,0,0,3,1,6
2021-04-13,CHO,LAL,0, -8,20:14,3,2,1,0,3,0,0,0,1,4,5
2021-04-14,CHO,CLE,0, -13,19:28,6,5,0,0,7,2,0,0,1,4,10
2021-04-18,CHO,POR,0, +8,21:29,5,2,1,0,3,1,0,0,1,3,7
2021-04-20,CHO,NYK,1, -12,12:13,4,3,0,0,2,1,0,0,1,1,6
2021-04-22,CHO,CHI,1, -17,13:57,5,3,0,0,6,1,0,0,3,3,8
2021-04-28,CHO,BOS,1, -9,17:00,9,6,1,1,4,1,0,0,0,1,16
2021-05-02,CHO,MIA,0, -10,5:02,1,0,0,0,1,0,0,0,1,2,2
2021-05-04,CHO,DET,1, +3,17:03,8,5,1,0,8,1,0,1,1,5,11
2021-05-06,CHO,CHI,0, -21,18:14,7,5,1,0,5,1,1,1,1,2,11
2021-05-07,CHO,ORL,0, +10,16:02,7,3,0,0,7,0,0,0,0,5,8
2021-05-09,CHO,NOP,0, -2,22:07,9,6,0,0,8,1,1,1,2,3,17
2021-05-11,CHO,DEN,0, -5,29:24,9,7,0,0,10,3,2,0,1,3,15
2021-05-13,CHO,LAC,0, -23,17:53,7,5,0,0,6,1,0,0,2,2,10
2021-05-15,CHO,NYK,1, -9,36:21,8,4,0,0,11,3,0,0,2,4,10
2021-05-16,CHO,WAS,1, -5,29:38,6,3,0,0,4,2,0,0,1,4,11
