Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-25,BOS,BRK,0,-28,8.75,2,1,2,1,0,0,0,0,1,0,3
2020-12-30,BOS,MEM,0,19,19.82,7,2,5,1,3,1,0,1,1,3,5
2021-01-04,BOS,TOR,1,12,10.47,3,0,2,0,2,0,0,0,0,4,0
2021-01-15,BOS,ORL,0,27,18.45,7,2,5,1,0,2,0,1,1,3,5
2021-01-17,BOS,NYK,0,-30,8.43,4,0,2,0,1,0,0,0,0,1,0
2021-01-24,BOS,CLE,0,38,16.65,6,4,5,3,6,1,0,0,0,2,11
2021-01-25,BOS,CHI,1,16,18.78,5,3,5,3,1,0,0,0,1,1,9
2021-01-27,BOS,SAS,1,-4,5.3,1,0,1,0,1,0,0,0,1,0,0
2021-01-30,BOS,LAL,0,-1,8.35,2,0,2,0,1,0,0,0,2,2,0
2021-02-11,BOS,TOR,0,14,2.08,0,0,0,0,0,1,0,0,0,0,0
2021-02-14,BOS,WAS,1,-13,28.65,4,1,4,1,5,0,0,0,1,3,5
2021-02-16,BOS,DEN,0,13,24.17,4,2,4,2,4,0,0,1,0,2,9
2021-02-17,BOS,ATL,0,-8,21.07,2,1,1,0,6,2,0,1,1,3,2
2021-02-19,BOS,ATL,0,12,19.6,4,1,3,1,4,0,0,0,0,2,3
2021-02-21,BOS,NOP,1,-5,26.58,4,3,2,1,4,0,2,0,0,5,10
2021-02-23,BOS,DAL,1,-3,22.2,0,0,0,0,3,0,0,1,1,3,0
2021-02-24,BOS,ATL,1,-15,14.27,7,5,4,3,3,0,1,0,1,2,13
2021-02-26,BOS,IND,0,6,7.1,1,0,1,0,0,0,0,0,0,1,0
2021-03-14,BOS,HOU,1,27,9.13,3,1,2,1,0,1,1,0,0,0,3
2021-03-19,BOS,SAC,0,-11,13.93,2,1,1,0,0,0,0,0,0,1,2
2021-03-21,BOS,ORL,0,16,15.37,4,1,3,1,4,0,1,0,0,4,3
2021-03-22,BOS,MEM,1,-6,17.37,2,1,1,1,5,0,0,0,1,0,5
2021-03-26,BOS,MIL,1,8,13.9,4,0,3,0,1,0,0,0,0,0,0
2021-03-27,BOS,OKC,1,17,16.27,3,1,2,0,2,2,2,1,2,0,2
2021-03-29,BOS,NOP,0,-6,8.15,4,2,2,1,2,0,0,0,1,0,5
2021-03-31,BOS,DAL,0,-5,3.98,1,0,1,0,1,0,0,0,0,0,0
2021-04-02,BOS,HOU,0,16,3.83,2,1,1,0,0,0,0,0,0,0,3
2021-04-04,BOS,CHO,0,30,12.0,3,0,2,0,6,0,2,0,0,1,0
2021-04-06,BOS,PHI,0,-10,1.72,2,1,0,0,0,0,0,0,0,0,2
2021-04-11,BOS,DEN,1,18,1.55,1,1,1,1,0,0,0,0,0,0,3
2021-04-15,BOS,LAL,1,8,4.43,1,0,1,0,0,0,0,0,0,0,0
2021-04-19,BOS,CHI,0,-6,4.37,1,0,1,0,2,1,0,0,0,1,0
2021-04-22,BOS,PHO,0,13,8.97,3,2,3,2,1,0,0,0,1,2,6
2021-04-23,BOS,BRK,1,-5,16.83,5,2,2,1,8,2,0,0,2,2,5
2021-04-25,BOS,CHO,1,-21,8.02,3,1,2,1,2,0,0,0,0,0,5
2021-04-27,BOS,OKC,0,-4,12.45,2,1,1,0,0,0,0,0,0,2,2
2021-04-28,BOS,CHO,0,9,31.38,12,6,5,2,9,0,3,3,1,5,15
2021-04-30,BOS,SAS,0,3,30.23,9,7,3,2,6,1,1,0,0,5,16
2021-05-02,BOS,POR,0,-10,20.03,7,6,4,4,4,0,0,0,1,5,16
2021-05-05,BOS,ORL,1,36,20.48,3,2,2,1,4,0,0,0,1,4,5
2021-05-07,BOS,CHI,1,-22,12.57,2,1,0,0,5,1,0,0,0,3,4
2021-05-09,BOS,MIA,0,-6,19.43,9,5,5,2,4,1,1,0,0,2,16
2021-05-11,BOS,MIA,0,-8,17.5,3,2,3,2,3,2,0,0,0,1,6
2021-05-12,BOS,CLE,1,-8,22.17,10,3,4,0,7,2,1,0,0,4,8
2021-05-15,BOS,MIN,1,16,22.45,8,4,4,1,4,1,0,0,1,5,9
2021-05-16,BOS,NYK,1,-4,19.47,6,1,1,0,3,2,0,0,1,3,2
