Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIL,BOS,1, -1,12:53,2,0,2,0,5,1,0,1,1,2,0
2020-12-25,MIL,GSW,0, +39,13:56,4,3,3,3,4,0,0,1,1,2,9
2020-12-27,MIL,NYK,1, -20,6:54,0,0,0,0,1,0,0,0,0,2,1
2020-12-29,MIL,MIA,1, +47,9:23,5,1,4,1,3,0,0,0,0,3,3
2021-01-01,MIL,CHI,0, +30,9:27,4,1,3,1,2,1,1,0,1,0,3
2021-01-09,MIL,CLE,0, +10,15:42,9,5,3,2,3,1,0,0,1,0,12
2021-01-11,MIL,ORL,1, +22,3:02,2,1,1,0,1,0,0,0,0,0,2
2021-02-01,MIL,POR,0, +28,9:23,4,2,2,1,1,0,0,0,0,1,5
2021-02-03,MIL,IND,0, +20,9:42,6,1,4,0,0,0,0,1,0,1,2
2021-02-06,MIL,CLE,1, +25,4:03,1,0,1,0,2,0,0,0,0,1,0
2021-03-02,MIL,DEN,0, -31,4:56,4,1,3,1,1,0,0,1,0,0,3
2021-03-11,MIL,NYK,0, +33,5:17,2,1,2,1,2,0,0,0,0,1,3
2021-03-19,HOU,DET,0, -13,6:51,2,0,1,0,3,0,0,0,0,0,0
2021-03-21,HOU,OKC,0, -2,9:32,5,3,3,2,1,0,0,0,0,1,8
2021-03-22,HOU,TOR,0, +18,15:36,4,2,0,0,2,0,0,0,0,4,7
2021-03-24,HOU,CHO,0, -25,18:44,8,3,4,1,8,1,0,1,1,2,8
2021-03-26,HOU,MIN,1, -6,11:57,6,2,4,2,5,0,0,1,3,3,6
2021-03-27,HOU,MIN,1, +22,16:40,3,2,0,0,3,3,1,2,1,2,5
2021-03-29,HOU,MEM,0, -10,12:04,4,3,3,2,3,1,0,1,2,3,8
2021-04-02,HOU,BOS,1, -16,4:34,2,1,2,1,1,0,0,0,1,0,4
2021-04-04,HOU,NOP,0, -7,8:50,3,3,1,1,2,0,0,0,0,0,7
2021-04-05,HOU,PHO,0, -3,14:35,5,1,3,0,4,0,2,0,1,1,2
2021-04-09,HOU,LAC,1, -17,14:46,3,0,2,0,4,2,0,3,0,1,0
2021-04-10,HOU,GSW,1, -16,9:19,5,1,1,1,2,0,0,0,0,1,3
2021-04-12,HOU,PHO,1, -6,13:32,5,3,3,1,6,0,0,0,2,2,8
2021-04-14,HOU,IND,0, -8,5:22,4,1,2,0,0,0,0,0,0,0,2
2021-04-16,HOU,DEN,0, -29,16:51,7,3,4,1,2,0,2,0,0,1,8
2021-04-18,HOU,ORL,1, +4,15:30,5,0,3,0,3,2,1,2,1,2,0
2021-04-19,HOU,MIA,1, -22,11:00,3,1,1,0,3,1,0,0,1,0,4
2021-04-21,HOU,UTA,0, -23,12:44,8,3,2,0,5,2,0,0,0,2,6
2021-04-23,HOU,LAC,0, -5,5:44,2,1,2,1,2,0,0,1,0,0,3
2021-04-24,HOU,DEN,1, -13,39:53,17,10,7,3,8,4,3,0,3,1,25
2021-04-27,HOU,MIN,0, -7,14:16,6,2,3,1,2,2,0,0,0,2,5
2021-04-29,HOU,MIL,0, +7,25:03,11,5,5,3,12,1,0,0,1,3,15
2021-05-01,HOU,GSW,0, -26,24:34,7,2,3,0,6,1,1,1,1,0,6
