Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,HOU,POR,1,-2,43.27,21,12,13,6,4,17,1,0,5,1,44
2020-12-28,HOU,DEN,1,-13,31.48,16,10,9,5,6,8,1,0,5,2,34
2020-12-31,HOU,SAC,0,3,38.3,24,10,11,4,6,8,1,1,6,2,33
2021-01-04,HOU,DAL,0,-13,38.47,17,5,11,3,3,10,2,0,2,1,21
2021-01-06,HOU,IND,1,-7,38.85,14,5,5,1,4,12,1,2,4,2,15
2021-01-08,HOU,ORL,0,42,30.97,13,6,9,3,5,13,0,1,2,2,15
2021-01-10,HOU,LAL,0,-18,37.77,14,7,8,2,6,9,0,2,7,2,20
2021-01-12,HOU,LAL,0,-17,30.92,16,5,6,1,7,6,1,0,3,2,16
2021-01-16,BRK,ORL,0,7,39.78,18,8,10,3,12,14,4,1,9,3,32
2021-01-18,BRK,MIL,0,2,40.78,25,13,10,3,6,12,0,1,6,3,34
2021-01-20,BRK,CLE,1,-12,50.5,14,6,6,3,10,12,2,0,5,5,21
2021-01-22,BRK,CLE,1,-12,37.05,14,6,9,4,5,11,0,0,3,2,19
2021-01-23,BRK,MIA,0,4,38.48,9,2,5,0,7,11,0,0,5,2,12
2021-01-25,BRK,MIA,0,13,34.48,10,7,5,3,4,8,1,1,3,0,20
2021-01-27,BRK,ATL,1,4,45.9,20,9,9,5,8,15,2,1,3,1,31
2021-01-29,BRK,OKC,1,22,32.45,14,9,6,3,10,11,0,1,1,5,25
2021-02-02,BRK,LAC,0,4,43.07,15,7,6,1,12,14,1,0,3,5,23
2021-02-05,BRK,TOR,0,-6,39.93,8,4,5,2,7,12,2,0,3,2,17
2021-02-06,BRK,PHI,1,-16,29.12,20,10,8,3,8,10,0,0,2,3,26
2021-02-09,BRK,DET,1,-11,39.4,14,8,4,1,6,12,2,5,7,3,24
2021-02-10,BRK,IND,0,10,35.58,13,4,6,1,11,5,0,0,5,1,19
2021-02-13,BRK,GSW,1,17,35.45,11,6,8,5,8,16,3,1,5,2,19
2021-02-15,BRK,SAC,1,11,34.53,18,10,10,6,13,14,0,1,7,2,29
2021-02-16,BRK,PHO,1,4,36.82,22,14,11,5,7,11,1,0,2,2,38
2021-02-18,BRK,LAL,1,11,37.63,15,7,7,3,5,11,2,1,1,1,23
2021-02-21,BRK,LAC,1,4,40.67,25,13,9,4,11,7,2,0,3,2,37
2021-02-23,BRK,SAC,0,9,40.83,22,9,10,5,11,14,1,0,4,2,29
2021-02-25,BRK,ORL,0,37,33.07,16,7,10,5,9,7,1,0,6,3,20
2021-02-27,BRK,DAL,0,-17,32.57,21,9,11,4,7,6,0,1,6,1,29
2021-03-01,BRK,SAS,1,11,44.03,23,12,7,3,14,15,2,0,0,3,30
2021-03-03,BRK,HOU,1,18,40.88,15,10,8,4,10,14,3,1,8,0,29
2021-03-11,BRK,BOS,0,12,37.72,16,6,8,1,10,8,1,2,7,4,22
2021-03-13,BRK,DET,0,5,38.37,19,8,6,0,10,10,2,3,4,2,24
2021-03-15,BRK,NYK,0,5,39.57,15,6,5,0,14,15,0,1,7,2,21
2021-03-17,BRK,IND,1,9,42.12,27,13,9,2,10,15,2,0,2,4,40
2021-03-19,BRK,ORL,1,-8,34.48,15,4,8,2,4,9,2,0,3,4,19
2021-03-21,BRK,WAS,0,7,39.08,23,10,9,3,5,8,3,1,3,2,26
2021-03-23,BRK,POR,1,4,39.98,24,7,7,0,7,17,2,0,4,2,25
2021-03-26,BRK,DET,1,2,42.23,30,14,11,4,14,8,1,0,3,6,44
2021-03-29,BRK,MIN,0,5,40.35,25,11,8,4,11,13,1,1,6,0,38
2021-03-31,BRK,HOU,0,12,26.75,10,5,3,0,8,6,0,0,3,2,17
2021-04-05,BRK,NYK,0,2,4.37,1,0,1,0,1,3,0,0,0,0,0
2021-05-12,BRK,SAS,0,12,25.73,8,6,4,3,7,11,2,2,4,2,18
2021-05-15,BRK,CHI,0,14,25.02,4,2,3,1,5,7,1,2,0,2,5
