Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-04-29,OKC,NOP,0,-14,14.58,5,1,3,0,2,2,0,0,1,2,2
2021-05-01,OKC,IND,0,-57,23.87,12,4,2,0,10,2,1,0,1,1,8
2021-05-02,OKC,PHO,0,-3,18.7,6,4,1,0,6,3,1,0,0,0,11
2021-05-04,OKC,SAC,0,-4,16.02,7,5,1,1,3,3,1,0,0,1,16
2021-05-06,OKC,GSW,1,-21,23.63,7,2,2,0,2,4,1,0,0,1,6
2021-05-08,OKC,GSW,1,-39,20.05,2,2,0,0,3,1,3,0,1,1,4
2021-05-09,OKC,SAC,1,-28,31.43,8,1,4,0,6,4,1,0,0,1,5
2021-05-11,OKC,SAC,1,-16,18.75,7,4,0,0,1,1,0,0,0,1,8
2021-05-14,OKC,UTA,0,-16,26.35,9,6,1,1,6,1,0,0,2,0,18
2021-05-16,OKC,LAC,0,5,18.22,4,3,1,0,1,3,0,0,1,1,6
