Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-30,SAS,LAL,0, -14,1:02,2,1,0,0,0,0,0,0,0,0,2
2021-01-03,SAS,UTA,0, -21,8:28,5,3,0,0,3,1,0,0,0,0,9
2021-01-07,SAS,LAL,1, +9,0:57,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,SAS,POR,1, +21,2:13,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,SAS,GSW,1, -22,4:58,2,1,1,1,0,0,0,0,1,0,3
2021-01-22,SAS,DAL,0, -5,2:25,0,0,0,0,0,0,0,0,0,1,0
2021-01-24,SAS,WAS,0, +20,2:55,1,1,0,0,0,0,0,0,1,1,2
2021-01-29,SAS,DEN,0, +10,0:34,0,0,0,0,0,0,0,0,0,0,0
2021-01-30,SAS,MEM,0, -17,3:00,2,0,0,0,1,0,0,0,0,0,2
2021-02-24,SAS,OKC,1, -3,12:13,2,2,0,0,0,1,0,0,1,1,4
2021-03-01,SAS,BRK,0, -11,1:26,0,0,0,0,0,0,0,0,0,0,0
2021-03-02,SAS,NYK,0, +26,3:03,1,1,0,0,0,1,0,0,1,1,2
2021-03-10,SAS,DAL,1, -11,0:35,1,0,0,0,0,0,0,0,0,0,0
2021-03-12,SAS,ORL,0, +27,4:31,2,1,0,0,0,0,0,0,0,0,2
2021-03-14,SAS,PHI,1, -35,16:36,8,4,0,0,0,3,0,0,0,0,8
2021-03-15,SAS,DET,1, +10,4:14,2,1,0,0,0,0,1,0,1,1,2
2021-03-19,SAS,CLE,1, +6,1:30,0,0,0,0,0,0,0,0,0,0,0
2021-03-20,SAS,MIL,1, -7,7:35,1,0,0,0,3,2,1,0,1,0,0
2021-03-24,SAS,LAC,0, -33,8:12,1,0,0,0,2,0,0,0,1,0,0
2021-03-27,SAS,CHI,0, +16,1:46,0,0,0,0,0,1,0,0,0,0,0
2021-03-29,SAS,SAC,0, -17,2:22,1,0,0,0,0,1,0,0,0,0,0
2021-03-31,SAS,SAC,0, +14,2:32,2,1,0,0,0,0,0,0,0,0,2
2021-04-05,SAS,CLE,0, -24,11:37,3,2,0,0,0,1,1,0,2,0,4
2021-04-07,SAS,DEN,1, -10,5:25,3,0,0,0,1,1,0,0,0,0,0
2021-04-12,SAS,ORL,1, +23,7:45,1,1,0,0,1,2,1,0,1,0,2
2021-04-17,SAS,PHO,1, +26,10:54,4,1,0,0,1,0,2,0,1,1,2
2021-04-19,SAS,IND,1, +15,3:27,1,0,1,0,0,0,0,0,1,0,2
2021-04-21,SAS,MIA,0, -20,4:06,1,0,0,0,0,0,0,0,0,0,2
2021-04-22,SAS,DET,0, +15,19:23,2,2,1,1,1,5,0,0,0,2,5
2021-05-02,SAS,PHI,0, -2,21:40,6,2,0,0,2,3,0,0,0,2,4
2021-05-03,SAS,UTA,1, -11,2:02,0,0,0,0,0,0,0,0,0,0,0
2021-05-05,SAS,UTA,1, -32,23:46,8,5,1,1,2,3,0,0,0,1,11
2021-05-08,SAS,POR,1, -22,6:09,3,1,0,0,1,0,1,0,0,0,2
2021-05-10,SAS,MIL,0, +21,4:13,0,0,0,0,0,1,0,0,0,0,0
2021-05-12,SAS,BRK,1, -12,8:18,2,1,0,0,1,1,0,0,0,0,4
2021-05-15,SAS,PHO,0, -37,28:36,6,3,0,0,2,5,0,0,1,1,9
2021-05-16,SAS,PHO,0, -2,18:08,5,3,1,0,0,7,1,0,0,1,9
