Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-31,HOU,SAC,0,3,25.93,12,6,8,3,2,0,2,0,2,3,17
2021-01-02,HOU,SAC,0,8,32.85,18,7,12,3,3,4,2,1,3,2,21
2021-01-04,HOU,DAL,0,-13,25.9,12,5,10,4,5,2,1,1,1,2,20
2021-01-06,HOU,IND,1,-7,33.43,15,7,10,2,1,1,0,2,0,3,20
2021-01-08,HOU,ORL,0,42,18.85,5,2,4,1,2,1,1,1,1,0,5
2021-01-10,HOU,LAL,0,-18,21.65,4,1,2,0,2,1,0,0,4,2,4
2021-01-12,HOU,LAL,0,-17,20.62,10,5,8,3,0,2,1,1,0,1,13
2021-01-18,HOU,CHI,1,-5,33.93,17,9,7,3,2,4,0,0,1,0,21
2021-01-20,HOU,PHO,0,-6,34.05,20,9,7,3,2,2,0,0,1,0,22
2021-01-22,HOU,DET,1,1,36.33,15,6,6,1,1,3,0,0,2,3,20
2021-01-23,HOU,DAL,1,25,30.25,17,10,9,6,3,2,0,0,2,1,33
2021-01-26,HOU,WAS,0,19,28.9,13,6,7,2,2,4,1,0,2,1,20
2021-01-28,HOU,POR,0,3,29.85,11,2,7,2,4,1,0,1,4,2,8
2021-01-30,HOU,NOP,1,14,22.87,9,4,6,2,0,4,0,1,3,0,14
2021-02-01,HOU,OKC,1,30,21.8,12,8,9,5,0,2,0,0,1,0,25
2021-02-03,HOU,OKC,1,-17,27.68,15,8,9,3,3,4,2,0,4,0,22
2021-02-04,HOU,MEM,1,12,32.65,18,7,7,2,5,2,1,0,1,2,20
2021-02-06,HOU,SAS,0,-5,36.15,13,8,7,4,7,2,0,1,2,1,26
2021-02-09,HOU,NOP,1,-29,33.73,19,8,10,4,1,3,0,1,4,3,23
2021-02-11,HOU,MIA,0,-7,30.9,13,5,10,3,2,4,0,0,1,1,17
2021-02-13,HOU,NYK,1,-22,34.27,14,8,7,1,2,6,1,1,0,2,24
2021-02-17,HOU,PHI,1,-5,33.87,14,6,9,3,0,6,0,0,3,3,17
2021-02-22,HOU,CHI,0,-20,27.98,18,5,10,1,3,4,0,0,2,2,13
2021-02-24,HOU,CLE,1,-16,33.82,14,5,7,2,0,2,2,0,1,1,17
2021-02-26,HOU,TOR,1,-11,32.38,12,5,8,3,2,2,0,2,3,2,17
2021-02-28,HOU,MEM,0,-49,22.67,10,1,5,0,2,2,0,0,2,4,5
2021-03-11,HOU,SAC,1,-20,25.38,17,6,9,3,2,1,0,0,1,3,17
