Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,BRK,GSW,0,26,6.6,1,1,1,1,1,0,0,0,0,0,3
2020-12-25,BRK,BOS,1,28,2.5,1,0,0,0,1,0,0,0,0,1,0
2021-01-01,BRK,ATL,0,-18,3.0,1,0,1,0,1,0,0,0,0,0,0
2021-01-07,BRK,PHI,0,13,1.45,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,BRK,OKC,0,-13,2.25,0,0,0,0,0,2,0,0,0,0,0
2021-01-16,HOU,SAS,1,-12,21.3,5,1,4,0,4,1,2,0,2,3,2
2021-01-23,HOU,DAL,1,25,5.45,2,1,0,0,2,0,1,0,1,1,2
2021-01-30,HOU,NOP,1,14,5.02,0,0,0,0,1,0,0,0,2,0,0
2021-02-01,HOU,OKC,1,30,5.05,2,0,1,0,0,0,0,0,0,0,0
2021-02-03,HOU,OKC,1,-17,5.67,1,1,1,1,1,1,0,0,0,1,3
2021-02-04,HOU,MEM,1,12,4.18,2,1,2,1,0,0,0,0,0,1,4
2021-02-08,HOU,CHO,1,-25,4.52,2,0,2,0,0,0,1,2,0,0,0
2021-02-09,HOU,NOP,1,-29,1.77,1,0,1,0,0,0,0,0,2,0,0
2021-02-13,HOU,NYK,1,-22,3.82,2,1,1,0,1,0,1,0,0,1,2
2021-02-22,HOU,CHI,0,-20,9.73,2,0,2,0,1,0,0,1,1,0,0
2021-02-28,HOU,MEM,0,-49,8.55,2,0,1,0,1,2,1,1,1,0,0
2021-04-09,MIL,CHO,0,-8,16.95,1,0,0,0,6,4,2,0,1,1,0
2021-04-11,MIL,ORL,1,37,5.02,2,2,1,1,2,0,0,0,0,2,5
2021-04-14,MIL,MIN,1,25,6.37,4,3,2,2,1,0,1,0,2,2,8
2021-04-17,MIL,MEM,0,-13,1.48,1,0,1,0,0,0,0,0,0,0,0
2021-04-24,MIL,PHI,0,38,3.87,0,0,0,0,0,0,0,0,1,3,2
