Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MEM,SAS,0,-12,24.53,6,1,3,1,2,1,0,2,0,1,3
2021-01-05,MEM,LAL,0,-2,15.73,6,2,3,1,2,5,1,1,2,3,5
2021-01-07,MEM,CLE,0,-4,21.2,7,4,1,0,3,3,3,1,3,2,8
2021-01-08,MEM,BRK,0,5,22.0,10,6,2,2,5,1,1,1,2,0,14
2021-01-11,MEM,CLE,1,10,18.2,7,3,2,1,2,2,1,0,1,4,8
2021-01-13,MEM,MIN,1,11,24.77,12,7,4,1,1,4,2,1,1,1,15
2021-01-16,MEM,PHI,0,2,12.05,6,2,2,0,1,1,1,0,1,1,4
2021-01-30,MEM,SAS,1,17,32.3,13,8,7,4,5,2,0,2,0,5,20
2021-02-01,MEM,SAS,1,31,26.55,14,6,9,5,7,5,2,1,2,3,17
2021-02-02,MEM,IND,1,-18,22.02,8,4,5,1,2,6,0,2,3,2,12
2021-02-04,MEM,HOU,0,-12,24.05,7,3,3,1,3,5,0,1,1,3,8
2021-02-06,MEM,NOP,1,-9,14.27,4,2,2,2,3,3,0,0,1,0,6
2021-02-19,MEM,DET,0,14,17.3,6,2,2,1,3,1,4,1,1,0,5
2021-02-20,MEM,PHO,0,-31,26.77,12,5,6,1,6,4,0,0,1,0,11
2021-02-22,MEM,DAL,1,-10,15.62,8,2,6,1,4,2,0,0,2,1,7
2021-02-25,MEM,LAC,0,28,3.43,1,0,0,0,1,0,0,0,0,0,2
2021-02-26,MEM,LAC,0,-20,24.05,12,6,6,2,3,2,0,1,1,3,16
2021-02-28,MEM,HOU,1,49,22.42,8,5,2,1,3,5,4,0,2,4,14
2021-03-02,MEM,WAS,1,14,26.35,11,6,10,6,4,5,2,0,0,1,20
2021-03-04,MEM,MIL,0,-1,14.68,3,2,3,2,2,1,3,0,1,0,6
2021-03-10,MEM,WAS,0,15,18.15,7,5,2,1,2,3,2,0,2,4,11
2021-03-12,MEM,DEN,0,-1,23.5,7,3,5,3,4,6,1,1,1,0,9
2021-03-14,MEM,OKC,1,-6,18.7,11,6,4,1,0,3,3,0,0,2,13
2021-03-15,MEM,PHO,1,-23,18.05,7,1,3,0,3,0,2,0,0,1,2
2021-03-17,MEM,MIA,0,4,23.03,9,4,4,1,10,6,2,0,1,1,13
2021-03-19,MEM,GSW,0,-13,23.23,9,4,4,1,7,1,1,0,1,3,9
2021-03-20,MEM,GSW,0,8,10.43,2,1,2,1,4,1,0,1,2,4,3
2021-03-22,MEM,BOS,0,6,14.8,7,3,5,3,2,3,1,0,0,2,9
2021-03-24,MEM,OKC,1,9,16.53,9,5,6,4,4,0,1,0,4,0,14
2021-03-26,MEM,UTA,1,-3,13.87,3,0,0,0,1,0,0,0,0,1,0
2021-03-27,MEM,UTA,1,-16,17.73,5,4,3,2,1,3,0,0,0,1,12
2021-03-29,MEM,HOU,1,10,28.42,12,7,7,4,4,2,2,0,3,2,23
2021-03-31,MEM,UTA,0,-4,22.37,6,2,4,1,1,1,1,0,3,0,5
2021-04-02,MEM,MIN,0,12,23.88,10,5,6,4,4,3,3,0,0,1,14
2021-04-04,MEM,PHI,1,16,15.0,8,5,6,4,3,3,0,1,1,2,14
2021-04-19,MEM,DEN,1,-2,40.73,17,9,10,6,8,6,5,0,2,5,25
2021-04-21,MEM,LAC,1,-12,15.27,7,2,4,1,0,0,0,0,0,2,5
2021-04-23,MEM,POR,1,2,23.83,7,3,6,2,0,1,1,2,0,0,10
2021-04-25,MEM,POR,1,7,21.42,7,2,3,2,3,6,0,1,3,3,8
2021-04-26,MEM,DEN,1,-24,24.13,9,1,3,0,6,2,1,0,1,3,3
2021-04-28,MEM,POR,0,-21,22.3,4,2,2,0,3,3,1,0,1,1,6
2021-04-30,MEM,ORL,0,17,21.17,8,1,5,1,5,1,0,3,0,1,4
2021-05-01,MEM,ORL,1,-1,18.97,10,3,5,1,6,3,2,3,1,1,7
2021-05-03,MEM,NYK,0,-14,8.95,4,1,3,1,1,0,0,0,3,1,3
2021-05-05,MEM,MIN,1,4,25.4,8,3,4,2,5,2,0,1,2,2,8
2021-05-06,MEM,DET,1,-14,13.92,3,1,2,0,1,3,0,0,2,1,2
2021-05-08,MEM,TOR,1,10,19.08,10,5,10,5,2,2,0,0,2,1,15
2021-05-10,MEM,NOP,0,5,17.38,5,2,2,1,3,3,2,1,2,1,5
2021-05-11,MEM,DAL,0,29,18.12,4,1,2,1,0,2,1,0,0,2,3
2021-05-13,MEM,SAC,0,6,16.25,4,1,3,0,0,2,0,1,0,0,2
2021-05-14,MEM,SAC,0,1,21.37,6,2,5,1,4,3,2,2,1,2,10
2021-05-16,MEM,GSW,1,-12,20.92,7,2,3,0,2,0,2,0,3,1,4
