Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DAL,PHO,1, -4,3:16,1,1,0,0,0,0,0,0,0,0,2
2020-12-25,DAL,LAL,1, -23,2:23,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,DAL,LAC,1, +51,11:34,3,1,0,0,2,2,0,0,1,0,4
2020-12-30,DAL,CHO,0, -19,12:44,0,0,0,0,2,0,0,0,1,0,0
2021-01-03,DAL,CHI,1, -10,0:18,0,0,0,0,1,0,0,0,0,0,0
2021-01-07,DAL,DEN,1, +7,2:34,0,0,0,0,1,0,0,0,0,1,0
2021-01-09,DAL,ORL,0, +14,15:28,1,0,1,0,3,0,0,0,0,0,0
2021-01-13,DAL,CHO,1, +11,18:03,4,2,2,0,5,1,0,0,2,3,5
2021-01-15,DAL,MIL,1, -3,18:55,2,0,0,0,3,0,2,0,1,5,0
2021-01-17,DAL,CHI,0, -16,32:11,4,1,2,0,4,1,0,0,3,2,4
2021-01-18,DAL,TOR,1, -23,19:03,2,2,0,0,3,2,0,0,0,0,4
2021-01-20,DAL,IND,1, +12,22:52,7,4,1,0,6,2,0,0,0,3,8
2021-01-22,DAL,SAS,1, +5,16:45,4,1,2,0,6,1,1,0,0,0,2
2021-01-23,DAL,HOU,0, -25,20:00,5,2,3,1,2,0,1,0,3,2,6
2021-01-27,DAL,UTA,1, -12,1:34,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,DAL,UTA,1, -19,8:31,3,3,1,1,1,0,0,1,0,0,7
2021-02-04,DAL,GSW,0, -31,5:35,0,0,0,0,0,1,0,0,0,0,0
2021-03-11,DAL,OKC,1, -8,2:19,2,0,0,0,1,0,0,0,0,1,0
2021-03-13,DAL,DEN,1, +13,2:24,1,0,0,0,0,0,0,0,0,0,0
2021-03-21,DAL,POR,1, +40,9:36,4,2,0,0,0,1,0,0,0,0,4
2021-03-24,DAL,MIN,1, +20,2:16,0,0,0,0,0,0,0,0,1,0,0
2021-03-26,DAL,IND,0, -15,8:32,5,3,1,0,1,0,0,0,1,0,7
2021-03-29,DAL,OKC,1, +21,16:00,4,2,2,0,2,1,1,1,1,0,4
2021-03-31,DAL,BOS,1, +5,2:41,1,0,0,0,0,1,0,0,0,0,0
2021-04-03,DAL,WAS,1, +22,20:35,3,1,1,0,7,1,2,0,0,2,4
2021-04-07,DAL,HOU,1, -9,3:06,2,0,1,0,1,0,0,1,0,0,0
2021-04-08,DAL,MIL,0, +15,0:50,0,0,0,0,0,0,0,0,0,0,0
2021-04-12,DAL,PHI,0, -18,4:02,2,1,0,0,2,0,0,0,1,1,2
2021-04-26,DAL,SAC,1, -7,16:09,2,1,0,0,3,1,1,0,0,1,2
2021-04-27,DAL,GSW,1, +30,10:06,3,1,1,1,1,1,0,0,1,0,3
2021-04-29,DAL,DET,1, +10,14:04,2,2,0,0,2,2,0,0,0,2,4
2021-05-02,DAL,SAC,0, -12,8:08,3,0,2,0,1,0,2,0,0,0,0
2021-05-04,DAL,MIA,1, +14,23:40,2,1,1,0,4,3,3,0,1,1,4
2021-05-06,DAL,BRK,0, +4,8:06,2,2,0,0,2,0,2,0,0,0,4
2021-05-07,DAL,CLE,0, +20,25:31,3,2,2,1,5,1,0,0,0,4,6
2021-05-09,DAL,CLE,1, +27,19:41,4,1,0,0,1,4,0,0,0,3,2
2021-05-11,DAL,MEM,1, -29,12:00,3,1,0,0,3,1,0,0,0,1,2
2021-05-12,DAL,NOP,0, +18,6:07,1,1,0,0,1,0,0,0,0,2,3
2021-05-16,DAL,MIN,1, -15,16:57,8,4,2,0,2,1,1,0,0,1,8
