Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NYK,IND,1,-14,31.67,12,6,4,2,4,3,1,1,1,3,22
2020-12-26,NYK,PHI,0,-20,30.7,13,6,6,4,5,3,2,1,5,4,22
2020-12-27,NYK,MIL,0,20,20.5,7,5,5,4,2,5,0,0,1,3,18
2021-01-21,NYK,GSW,1,15,30.95,8,2,3,1,5,1,0,1,1,3,11
2021-01-22,NYK,SAC,1,-9,27.0,14,3,5,1,5,2,0,1,1,1,9
2021-01-24,NYK,POR,1,-3,27.02,9,6,8,5,4,1,3,0,2,1,18
2021-01-26,NYK,UTA,1,-14,23.23,14,3,7,0,7,1,1,0,1,3,9
2021-01-29,NYK,CLE,0,21,23.85,5,3,2,1,6,1,0,0,0,1,7
2021-01-31,NYK,LAC,0,-14,21.92,8,3,4,1,3,4,2,1,0,0,7
2021-02-01,NYK,CHI,1,-8,28.5,12,6,6,3,1,1,2,0,0,2,18
2021-02-03,NYK,CHI,1,4,18.9,5,1,2,1,3,5,0,0,0,2,3
2021-02-06,NYK,POR,0,11,27.47,16,6,9,4,8,1,2,0,2,1,16
2021-02-07,NYK,MIA,0,-6,28.78,9,5,6,3,5,2,0,0,2,4,13
2021-02-09,NYK,MIA,1,-2,25.9,8,4,6,3,6,2,0,0,1,1,11
2021-02-12,NYK,WAS,1,18,25.67,3,0,2,0,8,1,0,0,0,1,0
2021-02-13,NYK,HOU,0,22,23.72,7,1,5,1,4,4,1,0,0,1,3
2021-02-15,NYK,ATL,0,11,19.38,3,1,2,0,4,1,1,0,0,0,4
2021-02-17,NYK,ORL,1,-18,24.13,9,3,6,2,3,0,0,0,3,0,8
2021-02-21,NYK,MIN,0,4,19.13,7,3,3,1,6,0,0,0,0,2,13
2021-02-23,NYK,GSW,0,-8,24.42,10,3,6,2,5,1,0,0,1,2,8
2021-02-25,NYK,SAC,0,19,24.98,12,8,8,5,4,2,0,0,2,4,24
2021-02-27,NYK,IND,0,3,21.48,5,2,1,0,1,2,1,0,1,1,5
2021-02-28,NYK,DET,1,19,26.2,13,7,5,2,3,3,1,0,1,4,16
2021-03-02,NYK,SAS,1,-26,21.32,9,1,3,0,4,2,0,0,1,4,4
2021-03-04,NYK,DET,0,10,19.92,9,4,3,1,2,3,1,0,1,0,9
2021-03-11,NYK,MIL,1,-33,26.92,12,7,6,2,3,8,0,0,1,1,17
2021-03-13,NYK,OKC,1,22,27.17,18,6,3,0,4,0,2,0,1,2,15
2021-03-15,NYK,BRK,1,-5,24.28,10,3,6,2,1,0,2,0,0,2,12
2021-03-16,NYK,PHI,1,-3,35.73,15,6,8,3,4,2,0,1,2,3,19
2021-03-18,NYK,ORL,0,1,33.45,18,9,6,3,10,2,0,1,1,1,21
2021-03-21,NYK,PHI,0,-1,29.98,17,8,3,2,6,4,3,1,1,2,20
2021-03-23,NYK,WAS,0,18,29.15,12,6,2,2,3,3,1,0,1,4,20
2021-03-25,NYK,WAS,0,4,33.82,18,8,7,2,6,0,1,0,1,4,27
2021-03-27,NYK,MIL,1,6,40.8,13,7,12,6,10,5,0,2,1,4,21
2021-03-29,NYK,MIA,0,-10,26.77,4,2,4,2,3,3,0,0,0,0,6
2021-03-31,NYK,MIN,1,-1,24.23,12,5,5,2,3,1,0,0,1,2,13
2021-04-02,NYK,DAL,0,-13,29.17,11,6,6,4,2,1,2,0,1,2,20
2021-04-03,NYK,DET,1,44,15.2,2,0,2,0,2,4,0,1,1,2,0
2021-04-05,NYK,BRK,1,-2,20.07,5,2,2,2,6,2,0,0,0,3,6
2021-04-07,NYK,BOS,1,-2,23.13,9,2,7,2,8,3,0,0,1,3,8
2021-04-09,NYK,MEM,0,4,33.1,15,5,8,3,5,2,0,0,1,2,19
2021-04-11,NYK,TOR,0,6,26.15,9,2,4,1,2,2,0,0,3,3,8
2021-04-12,NYK,LAL,0,15,16.15,5,1,3,0,5,2,0,1,0,1,2
2021-04-14,NYK,NOP,1,10,22.07,12,7,7,4,7,1,1,0,0,2,21
2021-05-03,NYK,MEM,1,14,15.75,7,4,1,1,2,2,0,0,0,1,9
2021-05-05,NYK,DEN,1,-16,15.53,7,0,3,0,2,2,0,1,0,1,0
2021-05-13,NYK,SAS,0,4,34.05,20,11,10,5,10,2,0,1,2,2,30
2021-05-15,NYK,CHO,0,9,30.0,12,5,7,2,9,5,0,0,1,4,14
2021-05-16,NYK,BOS,0,4,25.1,10,6,7,5,6,0,1,0,2,3,17
