Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,CLE,CHO,0,7,27.22,18,7,1,0,0,0,3,14,4,1,0,5,2,14,-5
2020-12-26,CLE,DET,1,9,43.67,21,7,2,0,9,14,2,16,5,4,3,4,2,23,10
2020-12-27,CLE,PHI,0,24,25.67,18,11,0,0,2,4,6,14,3,3,2,1,1,24,27
2020-12-29,CLE,NYK,0,-9,33.47,13,7,1,0,4,10,5,17,2,3,6,4,5,18,-5
2020-12-31,CLE,IND,1,-20,25.03,11,4,0,0,3,4,3,13,4,1,1,3,4,11,5
2021-01-02,CLE,ATL,1,5,20.35,10,6,0,0,0,0,4,11,0,0,0,4,2,12,-8
2021-01-04,CLE,ORL,1,-20,32.22,14,5,1,0,0,2,4,13,4,1,1,1,1,10,-16
2021-01-06,CLE,ORL,1,-11,26.3,16,9,0,0,1,4,6,15,1,1,1,5,4,19,-12
2021-01-07,CLE,MEM,1,4,37.35,20,9,0,0,4,6,3,15,3,2,0,6,2,22,0
2021-01-09,CLE,MIL,1,-10,41.28,23,11,1,0,4,5,5,24,3,1,1,6,4,26,-2
2021-01-11,CLE,MEM,0,-10,34.63,16,8,0,0,3,9,5,14,3,1,2,4,6,19,-20
2021-01-15,CLE,NYK,0,3,39.6,18,10,1,0,13,19,7,23,3,2,2,2,5,33,12
2021-01-20,CLE,BRK,0,12,25.73,13,6,0,0,1,1,1,7,3,1,0,4,2,13,-5
2021-01-22,CLE,BRK,0,12,27.47,13,8,0,0,3,4,5,16,4,2,1,4,3,19,13
2021-01-24,CLE,BOS,1,-38,17.75,9,4,0,0,3,6,3,5,0,0,2,3,3,11,-29
2021-01-25,CLE,LAL,0,-7,28.03,21,11,0,0,3,3,7,17,1,0,0,2,4,25,4
2021-01-27,CLE,DET,0,15,28.02,24,9,0,0,5,8,6,16,2,5,2,4,2,23,6
2021-01-29,CLE,NYK,1,-21,23.92,7,2,0,0,0,0,4,15,2,2,2,2,0,4,1
2021-01-31,CLE,MIN,1,-5,32.7,18,9,0,0,7,10,4,22,4,1,1,3,3,25,1
2021-02-03,CLE,LAC,0,-22,22.25,13,4,0,0,5,7,2,5,2,0,0,3,3,13,-33
2021-02-05,CLE,MIL,0,-18,29.7,19,9,1,0,0,0,3,9,4,2,0,1,1,18,-3
2021-02-06,CLE,MIL,0,-25,30.18,17,12,0,0,4,5,3,11,2,2,0,4,4,28,-4
2021-02-08,CLE,PHO,1,-6,35.9,12,7,0,0,1,5,5,14,2,3,2,1,1,15,3
2021-02-10,CLE,DEN,1,-38,16.23,7,2,0,0,0,0,4,6,1,1,0,4,1,4,-28
2021-02-12,CLE,POR,1,-19,17.15,9,3,0,0,2,3,1,5,2,1,0,1,4,8,-20
2021-03-31,LAL,MIL,0,-15,14.32,6,2,0,0,0,2,0,1,2,0,1,3,4,4,-8
2021-04-08,LAL,MIA,1,-6,26.85,9,5,0,0,5,6,4,12,3,2,0,3,5,15,-1
2021-04-10,LAL,BRK,1,25,22.37,15,8,0,0,4,6,4,11,0,1,1,3,3,20,18
2021-04-12,LAL,NYK,1,-15,25.03,3,1,0,0,1,2,1,10,0,1,1,4,4,3,-5
2021-04-13,LAL,CHO,1,8,24.33,7,2,0,0,0,0,4,12,1,3,0,2,4,4,-5
2021-04-17,LAL,UTA,0,12,30.47,15,10,0,0,7,8,2,8,3,2,1,2,4,27,18
2021-04-19,LAL,UTA,0,-14,28.2,12,3,0,0,2,5,3,8,4,2,0,2,5,8,-15
2021-04-22,LAL,DAL,1,-5,30.67,10,5,0,0,4,4,6,19,3,1,3,3,4,14,14
2021-04-24,LAL,DAL,1,-15,29.53,5,3,0,0,0,0,0,12,1,3,0,2,2,6,-19
2021-04-26,LAL,ORL,1,11,25.15,8,6,0,0,1,2,2,11,0,1,2,0,3,13,6
2021-04-28,LAL,WAS,1,-9,20.48,12,8,0,0,1,4,4,11,2,1,1,2,2,17,-9
2021-04-30,LAL,SAC,0,-4,24.42,11,7,0,0,3,4,4,7,0,0,2,2,5,17,-3
2021-05-02,LAL,TOR,0,-7,25.6,14,8,0,0,3,4,4,11,1,1,0,0,4,19,3
2021-05-03,LAL,DEN,0,4,21.52,5,2,0,0,0,1,0,0,1,2,0,3,5,4,-11
2021-05-06,LAL,LAC,1,-24,22.43,5,3,0,0,3,6,2,6,0,1,1,1,5,9,-7
2021-05-07,LAL,POR,1,-5,21.67,4,2,0,0,0,0,1,9,2,0,0,3,6,4,-2
2021-05-09,LAL,PHO,0,13,19.65,7,2,0,0,2,2,7,10,2,0,0,2,4,6,3
2021-05-11,LAL,NYK,0,2,35.52,11,6,0,0,4,7,5,18,3,0,2,1,1,16,8
2021-05-12,LAL,HOU,0,2,21.75,13,9,0,0,2,5,3,10,2,0,1,2,4,20,9
2021-05-15,LAL,IND,1,7,28.83,9,4,0,0,3,5,4,15,0,0,2,1,1,11,10
2021-05-16,LAL,NOP,1,12,21.03,11,6,0,0,1,3,5,13,0,2,2,2,5,13,-1
