Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CLE,CHO,0, +7,27:13,18,7,1,0,14,4,1,0,5,2,14
2020-12-26,CLE,DET,1, +9,43:40,21,7,2,0,16,5,4,3,4,2,23
2020-12-27,CLE,PHI,0, +24,25:40,18,11,0,0,14,3,3,2,1,1,24
2020-12-29,CLE,NYK,0, -9,33:28,13,7,1,0,17,2,3,6,4,5,18
2020-12-31,CLE,IND,1, -20,25:02,11,4,0,0,13,4,1,1,3,4,11
2021-01-02,CLE,ATL,1, +5,20:21,10,6,0,0,11,0,0,0,4,2,12
2021-01-04,CLE,ORL,1, -20,32:13,14,5,1,0,13,4,1,1,1,1,10
2021-01-06,CLE,ORL,1, -11,26:18,16,9,0,0,15,1,1,1,5,4,19
2021-01-07,CLE,MEM,1, +4,37:21,20,9,0,0,15,3,2,0,6,2,22
2021-01-09,CLE,MIL,1, -10,41:17,23,11,1,0,24,3,1,1,6,4,26
2021-01-11,CLE,MEM,0, -10,34:38,16,8,0,0,14,3,1,2,4,6,19
2021-01-15,CLE,NYK,0, +3,39:36,18,10,1,0,23,3,2,2,2,5,33
2021-01-20,CLE,BRK,0, +12,25:44,13,6,0,0,7,3,1,0,4,2,13
2021-01-22,CLE,BRK,0, +12,27:28,13,8,0,0,16,4,2,1,4,3,19
2021-01-24,CLE,BOS,1, -38,17:45,9,4,0,0,5,0,0,2,3,3,11
2021-01-25,CLE,LAL,0, -7,28:02,21,11,0,0,17,1,0,0,2,4,25
2021-01-27,CLE,DET,0, +15,28:01,24,9,0,0,16,2,5,2,4,2,23
2021-01-29,CLE,NYK,1, -21,23:55,7,2,0,0,15,2,2,2,2,0,4
2021-01-31,CLE,MIN,1, -5,32:42,18,9,0,0,22,4,1,1,3,3,25
2021-02-03,CLE,LAC,0, -22,22:15,13,4,0,0,5,2,0,0,3,3,13
2021-02-05,CLE,MIL,0, -18,29:42,19,9,1,0,9,4,2,0,1,1,18
2021-02-06,CLE,MIL,0, -25,30:11,17,12,0,0,11,2,2,0,4,4,28
2021-02-08,CLE,PHO,1, -6,35:54,12,7,0,0,14,2,3,2,1,1,15
2021-02-10,CLE,DEN,1, -38,16:14,7,2,0,0,6,1,1,0,4,1,4
2021-02-12,CLE,POR,1, -19,17:09,9,3,0,0,5,2,1,0,1,4,8
2021-03-31,LAL,MIL,0, -15,14:19,6,2,0,0,1,2,0,1,3,4,4
2021-04-08,LAL,MIA,1, -6,26:51,9,5,0,0,12,3,2,0,3,5,15
2021-04-10,LAL,BRK,1, +25,22:22,15,8,0,0,11,0,1,1,3,3,20
2021-04-12,LAL,NYK,1, -15,25:02,3,1,0,0,10,0,1,1,4,4,3
2021-04-13,LAL,CHO,1, +8,24:20,7,2,0,0,12,1,3,0,2,4,4
2021-04-17,LAL,UTA,0, +12,30:28,15,10,0,0,8,3,2,1,2,4,27
2021-04-19,LAL,UTA,0, -14,28:12,12,3,0,0,8,4,2,0,2,5,8
2021-04-22,LAL,DAL,1, -5,30:40,10,5,0,0,19,3,1,3,3,4,14
2021-04-24,LAL,DAL,1, -15,29:32,5,3,0,0,12,1,3,0,2,2,6
2021-04-26,LAL,ORL,1, +11,25:09,8,6,0,0,11,0,1,2,0,3,13
2021-04-28,LAL,WAS,1, -9,20:29,12,8,0,0,11,2,1,1,2,2,17
2021-04-30,LAL,SAC,0, -4,24:25,11,7,0,0,7,0,0,2,2,5,17
2021-05-02,LAL,TOR,0, -7,25:36,14,8,0,0,11,1,1,0,0,4,19
2021-05-03,LAL,DEN,0, +4,21:31,5,2,0,0,0,1,2,0,3,5,4
2021-05-06,LAL,LAC,1, -24,22:26,5,3,0,0,6,0,1,1,1,5,9
2021-05-07,LAL,POR,1, -5,21:40,4,2,0,0,9,2,0,0,3,6,4
2021-05-09,LAL,PHO,0, +13,19:39,7,2,0,0,10,2,0,0,2,4,6
2021-05-11,LAL,NYK,0, +2,35:31,11,6,0,0,18,3,0,2,1,1,16
2021-05-12,LAL,HOU,0, +2,21:45,13,9,0,0,10,2,0,1,2,4,20
2021-05-15,LAL,IND,1, +7,28:50,9,4,0,0,15,0,0,2,1,1,11
2021-05-16,LAL,NOP,1, +12,21:02,11,6,0,0,13,0,2,2,2,5,13
