Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2021-02-17,ORL,NYK,0,18,18.5,4,1,2,0,0,0,0,2,5,0,0,1,4,2,7
2021-02-19,ORL,GSW,0,4,15.02,4,1,2,0,1,1,1,2,2,0,1,1,1,3,-17
2021-02-21,ORL,DET,0,9,20.52,1,1,0,0,2,2,0,3,0,0,0,1,4,4,-8
2021-02-23,ORL,DET,0,-12,17.93,4,3,3,2,1,2,0,2,2,0,0,1,2,9,-9
2021-02-25,ORL,BRK,1,-37,24.13,5,2,4,1,1,2,0,3,0,0,0,2,3,6,-29
2021-02-27,ORL,UTA,0,-15,22.5,7,3,5,2,0,0,0,1,7,1,0,0,3,8,2
2021-03-01,ORL,DAL,0,-6,18.68,5,3,3,1,0,0,0,1,3,1,0,0,1,7,1
2021-03-03,ORL,ATL,0,-3,13.55,5,1,4,1,0,0,0,1,4,0,0,0,0,3,6
2021-03-11,ORL,MIA,1,-8,30.32,7,3,5,3,0,0,0,2,5,2,0,1,2,9,-10
2021-03-12,ORL,SAS,1,-27,36.63,7,2,5,1,0,0,1,3,3,0,0,3,3,5,-30
2021-03-14,ORL,MIA,0,-5,23.55,2,1,1,0,2,3,0,4,1,0,0,2,0,4,0
2021-03-18,ORL,NYK,1,-1,29.55,4,1,2,0,3,3,0,3,3,1,0,3,0,5,-12
2021-03-19,ORL,BRK,0,8,26.43,7,4,6,4,1,1,0,2,3,0,0,0,2,13,13
2021-03-21,ORL,BOS,1,-16,6.67,0,0,0,0,2,2,0,1,0,0,0,0,0,2,-2
2021-03-24,ORL,PHO,0,1,2.9,2,1,0,0,0,0,0,0,0,0,0,0,0,2,-2
2021-03-26,ORL,POR,0,-7,27.17,8,4,4,2,0,0,0,2,2,0,1,3,1,10,-10
2021-03-28,ORL,LAL,1,-3,25.78,8,3,4,2,0,0,0,1,3,0,0,1,6,8,-5
2021-03-30,ORL,LAC,1,7,16.22,4,0,1,0,0,0,0,2,0,1,0,0,1,0,-8
2021-04-01,ORL,NOP,1,5,35.23,16,5,7,3,2,2,1,6,2,3,0,2,3,15,-10
2021-04-03,ORL,UTA,1,-46,32.28,6,2,3,1,0,0,0,1,0,0,0,3,0,5,-40
2021-04-04,ORL,DEN,1,-10,21.15,3,1,3,1,0,0,0,1,2,1,0,1,3,3,7
2021-04-07,ORL,WAS,0,-15,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-04-11,ORL,MIL,0,-37,4.4,1,0,0,0,0,0,0,0,0,0,0,2,1,0,-4
2021-04-12,ORL,SAS,0,-23,3.92,1,0,1,0,0,0,0,0,0,1,0,1,0,0,4
2021-04-16,ORL,TOR,1,-11,18.9,7,2,5,1,1,2,0,2,0,1,0,0,3,6,-13
2021-04-18,ORL,HOU,0,-4,14.03,4,3,3,2,0,0,0,0,1,0,0,1,0,8,0
2021-04-20,ORL,ATL,1,-16,17.02,9,4,4,1,1,1,0,1,1,1,0,1,2,10,-14
2021-04-22,ORL,NOP,0,-35,22.87,8,3,4,2,2,2,0,2,4,0,0,2,1,10,-2
2021-04-25,ORL,IND,0,-19,21.28,7,1,4,0,2,4,0,4,2,0,0,2,0,4,-13
2021-04-26,ORL,LAL,0,-11,14.53,6,4,1,1,0,0,0,0,1,1,0,1,2,9,-4
2021-04-28,ORL,CLE,1,5,16.87,7,4,4,2,0,0,0,1,2,2,0,0,1,10,-4
2021-04-30,ORL,MEM,1,-17,18.95,8,1,5,1,0,0,0,3,2,0,0,1,0,3,-13
2021-05-01,ORL,MEM,0,1,18.62,6,1,3,1,1,2,1,2,1,0,0,1,0,4,0
2021-05-03,ORL,DET,1,7,29.72,10,6,3,2,4,5,1,5,3,0,0,1,3,18,-6
2021-05-05,ORL,BOS,0,-36,26.2,5,2,2,0,0,0,0,0,0,0,0,3,2,4,-20
2021-05-07,ORL,CHO,1,-10,21.55,8,3,6,2,3,4,0,2,4,0,0,0,1,11,-2
2021-05-09,ORL,MIN,0,-32,23.78,7,1,3,0,0,0,1,7,2,2,1,1,0,2,-3
2021-05-11,ORL,MIL,1,-12,17.57,8,4,4,1,3,3,0,1,0,1,1,1,3,12,-5
2021-05-13,ORL,ATL,1,-23,24.9,8,3,6,3,0,0,0,4,0,0,1,1,1,9,-1
2021-05-14,ORL,PHI,1,-25,30.42,11,4,5,0,4,5,1,3,1,2,0,0,2,12,-14
2021-05-16,ORL,PHI,1,-11,25.08,7,4,3,1,2,2,0,2,3,1,0,2,3,11,5
