Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-02-09,ORL,POR,1,-9,4.87,0,0,0,0,1,1,0,0,1,0,0
2021-02-17,ORL,NYK,0,18,11.52,1,1,1,1,3,1,0,0,1,0,3
2021-02-19,ORL,GSW,0,4,12.9,4,3,1,0,4,2,0,0,2,1,8
2021-02-21,ORL,DET,0,9,18.95,4,1,2,0,6,2,4,2,0,1,3
2021-02-23,ORL,DET,0,-12,21.5,3,1,1,1,4,1,1,1,2,1,3
2021-02-25,ORL,BRK,1,-37,23.25,6,1,2,0,3,4,2,0,2,0,2
2021-02-27,ORL,UTA,0,-15,22.27,6,3,2,1,6,0,1,0,0,1,7
2021-03-01,ORL,DAL,0,-6,22.67,6,3,2,1,2,2,0,0,0,2,7
2021-03-03,ORL,ATL,0,-3,24.98,13,4,4,2,8,2,0,2,2,3,14
2021-03-11,ORL,MIA,1,-8,21.38,7,0,4,0,3,1,2,0,2,0,0
2021-03-12,ORL,SAS,1,-27,24.05,3,1,1,0,8,0,1,0,0,2,4
2021-03-14,ORL,MIA,0,-5,25.97,2,1,0,0,5,1,1,0,4,4,2
2021-03-18,ORL,NYK,1,-1,24.35,4,2,3,1,6,0,1,1,2,3,7
2021-03-19,ORL,BRK,0,8,23.25,5,2,3,0,7,3,0,0,0,2,5
2021-03-21,ORL,BOS,1,-16,27.88,6,2,2,0,5,2,2,1,1,1,5
2021-03-23,ORL,DEN,0,-11,29.3,11,8,0,0,10,6,2,1,3,1,17
2021-03-24,ORL,PHO,0,1,27.63,8,3,3,0,10,1,0,1,3,0,6
2021-03-27,CHI,SAS,1,-16,12.3,1,0,1,0,5,0,0,0,2,2,2
2021-04-14,CHI,ORL,0,-9,4.22,1,0,0,0,1,0,0,0,0,0,0
2021-04-21,CHI,CLE,1,-16,7.42,1,0,1,0,3,1,0,0,0,1,0
2021-04-30,CHI,MIL,0,-10,15.0,5,2,3,1,2,1,0,0,0,1,5
2021-05-01,CHI,ATL,1,-11,12.18,1,0,0,0,3,0,1,0,1,1,0
2021-05-03,CHI,PHI,0,-12,16.3,1,0,1,0,5,0,1,0,0,2,2
