Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIA,ORL,1, -6,35:42,15,7,0,0,3,7,7,0,6,1,19
2020-12-25,MIA,NOP,0, +13,16:13,7,2,1,0,6,5,1,0,1,0,4
2021-01-01,MIA,DAL,1, -10,26:49,6,0,0,0,3,2,2,0,3,1,2
2021-01-04,MIA,OKC,0, +28,25:42,12,6,2,0,3,6,1,0,0,1,18
2021-01-06,MIA,BOS,0, -2,33:08,19,9,3,0,8,3,0,3,1,0,26
2021-01-09,MIA,WAS,1, +4,36:01,18,10,1,0,10,9,2,1,0,1,26
2021-01-30,MIA,SAC,0, +1,33:36,19,8,2,0,7,8,0,0,0,1,30
2021-02-01,MIA,CHO,0, -8,37:14,17,9,3,0,9,5,4,0,3,2,25
2021-02-03,MIA,WAS,0, -3,37:09,11,5,1,0,8,9,1,0,0,1,19
2021-02-05,MIA,WAS,0, +27,25:38,7,4,0,0,8,9,3,1,2,1,14
2021-02-07,MIA,NYK,1, +6,34:15,11,3,1,0,10,9,1,0,4,1,17
2021-02-09,MIA,NYK,0, +2,36:20,15,6,2,1,8,10,1,1,2,1,26
2021-02-11,MIA,HOU,1, +7,39:07,18,8,2,1,10,10,0,0,3,1,27
2021-02-13,MIA,UTA,1, -18,31:39,10,3,2,1,8,5,3,0,3,3,15
2021-02-15,MIA,LAC,1, -7,37:57,19,10,2,0,10,10,2,0,1,1,30
2021-02-17,MIA,GSW,1, -8,40:58,15,6,2,1,12,11,3,0,5,2,13
2021-02-18,MIA,SAC,1, +8,34:50,12,6,1,0,10,13,1,0,3,2,13
2021-02-20,MIA,LAL,1, +2,34:05,20,8,0,0,8,5,2,0,5,2,24
2021-02-22,MIA,OKC,1, +14,29:20,11,3,0,0,4,9,1,1,1,0,15
2021-02-24,MIA,TOR,0, +8,34:28,17,8,4,3,8,10,3,1,2,1,27
2021-02-26,MIA,UTA,0, +8,34:44,22,12,3,0,10,8,1,0,3,0,33
2021-03-04,MIA,NOP,1, +10,34:03,14,10,2,1,3,9,3,0,3,3,29
2021-03-11,MIA,ORL,0, +8,35:41,17,9,4,1,8,11,3,1,2,2,27
2021-03-12,MIA,CHI,1, +11,33:01,17,9,1,0,3,8,4,1,2,2,28
2021-03-14,MIA,ORL,1, +5,36:29,17,10,4,0,7,9,5,1,1,1,29
2021-03-16,MIA,CLE,0, +15,31:51,16,11,1,0,12,4,2,0,3,2,28
2021-03-17,MIA,MEM,1, -4,35:45,20,10,6,2,7,2,1,0,1,2,24
2021-03-19,MIA,IND,0, -27,31:42,10,6,0,0,8,4,2,0,3,0,17
2021-03-21,MIA,IND,0, -3,41:41,16,7,1,0,15,7,0,0,2,3,21
2021-03-23,MIA,PHO,0, -10,26:52,13,7,1,0,11,1,1,0,5,2,14
2021-03-26,MIA,CHO,1, -5,38:01,16,7,8,2,5,9,1,0,1,4,20
2021-03-29,MIA,NYK,1, +10,34:00,15,10,3,0,5,6,0,1,1,2,27
2021-03-31,MIA,IND,1, +5,37:19,14,6,2,0,4,4,2,1,2,1,18
2021-04-01,MIA,GSW,0, +7,34:58,13,7,3,1,6,8,4,0,1,2,22
2021-04-03,MIA,CLE,0, +14,32:03,8,4,0,0,6,11,2,0,1,2,15
2021-04-06,MIA,MEM,0, -12,34:39,16,11,2,1,3,5,2,0,1,1,28
2021-04-08,MIA,LAL,0, +6,35:38,11,8,2,1,7,5,3,0,3,1,28
2021-04-11,MIA,POR,1, +9,36:11,13,7,2,1,4,5,4,2,3,2,20
2021-04-13,MIA,PHO,1, -20,32:26,16,6,6,2,4,8,2,0,1,0,18
2021-04-14,MIA,DEN,1, -17,27:34,8,5,0,0,3,9,3,0,1,1,13
2021-04-16,MIA,MIN,1, -8,38:37,19,9,2,0,10,8,3,1,1,3,30
2021-04-21,MIA,SAS,1, +20,34:14,13,6,1,0,7,11,1,0,3,2,18
2021-04-23,MIA,ATL,1, -15,37:11,13,6,3,0,2,7,3,1,4,2,19
2021-04-24,MIA,CHI,0, +5,35:29,11,5,1,0,5,8,4,0,6,1,20
2021-04-26,MIA,CHI,0, -8,34:53,21,11,2,0,8,5,2,0,0,1,33
2021-04-28,MIA,SAS,0, +5,39:13,23,11,1,0,8,6,1,0,1,1,29
2021-05-01,MIA,CLE,1, +17,29:30,10,4,2,0,4,4,2,0,1,0,15
2021-05-02,MIA,CHO,1, +10,27:52,8,5,1,0,8,8,1,1,0,1,18
2021-05-07,MIA,MIN,0, +9,36:10,15,7,1,0,8,6,5,0,3,1,25
2021-05-09,MIA,BOS,1, +6,39:59,14,9,3,1,8,11,2,0,3,3,26
2021-05-11,MIA,BOS,1, +8,17:21,8,4,1,1,2,3,0,0,0,0,13
2021-05-13,MIA,PHI,0, +12,29:22,10,6,4,4,5,4,1,0,2,0,21
