Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,PHO,DAL,0, +4,25:32,9,5,3,1,5,1,1,0,0,2,15
2020-12-26,PHO,SAC,1, -3,25:03,10,3,8,2,2,1,1,0,0,1,8
2020-12-27,PHO,SAC,1, +16,21:03,9,7,4,3,1,1,1,0,0,1,21
2020-12-29,PHO,NOP,0, +25,22:23,13,6,10,4,2,0,1,2,0,2,18
2020-12-31,PHO,UTA,1, +11,17:59,4,4,2,2,2,2,0,1,1,0,10
2021-01-01,PHO,DEN,1, +3,22:18,9,3,8,3,4,2,0,0,0,0,9
2021-01-03,PHO,LAC,0, -5,22:12,9,3,8,2,3,1,1,0,2,2,8
2021-01-06,PHO,TOR,0, +8,23:19,10,6,7,4,3,0,1,0,1,1,16
2021-01-08,PHO,DET,1, -5,27:23,9,3,7,2,5,2,0,3,0,1,10
2021-01-09,PHO,IND,1, +8,29:16,13,6,10,4,4,4,0,0,1,0,16
2021-01-11,PHO,WAS,1, -21,18:03,7,2,6,1,4,2,0,0,1,1,5
2021-01-18,PHO,MEM,1, -4,22:33,9,4,5,2,4,3,1,0,2,1,10
2021-01-20,PHO,HOU,1, +6,28:27,9,3,7,2,3,3,2,1,2,1,8
2021-01-22,PHO,DEN,0, -4,31:33,7,2,6,1,3,1,0,0,1,3,5
2021-01-23,PHO,DEN,0, -8,34:53,16,7,11,3,3,0,2,0,1,1,19
2021-01-27,PHO,OKC,0, -5,31:44,8,3,3,2,5,2,1,0,1,1,8
2021-01-28,PHO,GSW,0, +21,30:03,10,5,8,3,5,2,0,0,1,2,13
2021-01-30,PHO,DAL,1, +6,33:40,4,1,1,1,4,0,0,0,0,2,6
2021-02-01,PHO,DAL,1, +1,35:08,8,3,6,2,5,0,1,0,0,3,10
2021-02-03,PHO,NOP,1, -22,26:14,9,3,7,2,4,3,0,0,1,3,8
2021-02-05,PHO,DET,0, +17,20:12,10,6,3,1,6,3,1,0,2,0,14
2021-02-07,PHO,BOS,0, +9,27:03,10,5,8,4,5,1,0,0,1,2,17
2021-02-08,PHO,CLE,0, +6,28:12,11,3,8,2,5,1,1,0,1,1,8
2021-02-10,PHO,MIL,0, +1,20:29,7,3,7,3,3,1,1,0,1,1,9
2021-02-13,PHO,PHI,0, +9,23:37,4,3,2,1,2,2,1,0,0,2,9
2021-02-14,PHO,ORL,0, +19,19:13,5,1,3,1,2,1,0,1,0,1,3
2021-02-16,PHO,BRK,0, -4,18:19,4,2,2,1,4,1,0,0,1,1,7
2021-02-19,PHO,NOP,1, +18,21:34,10,4,8,3,3,1,0,1,0,2,13
2021-02-20,PHO,MEM,1, +31,12:50,6,1,3,0,3,0,2,1,1,1,2
2021-02-22,PHO,POR,0, +32,16:23,7,5,3,3,3,0,1,0,0,2,13
2021-02-24,PHO,CHO,0, -3,30:25,11,5,6,2,5,1,1,0,2,2,14
2021-02-26,PHO,CHI,1, +9,17:56,5,3,4,2,0,3,1,0,0,2,8
2021-02-28,PHO,MIN,1, +19,16:10,9,2,5,1,3,0,0,0,2,1,6
2021-03-02,PHO,LAL,1, +10,21:30,5,3,4,3,0,1,0,0,0,2,9
2021-03-21,PHO,LAL,0, +17,15:50,4,3,2,2,3,0,0,2,1,1,8
2021-03-23,PHO,MIA,1, +10,18:36,6,3,5,2,1,3,1,1,0,3,8
2021-03-24,PHO,ORL,1, -1,18:39,4,1,3,1,2,0,0,0,0,1,3
2021-03-26,PHO,TOR,1, +4,18:45,5,3,3,1,5,3,0,0,0,0,7
2021-03-28,PHO,CHO,1, +4,18:51,6,0,6,0,1,1,0,0,1,1,0
2021-03-30,PHO,ATL,0, +7,19:33,5,2,5,2,2,1,0,0,1,1,6
2021-03-31,PHO,CHI,0, +5,19:41,4,2,4,2,2,2,0,0,0,0,6
2021-04-02,PHO,OKC,0, +37,17:42,9,6,5,3,2,1,1,1,0,1,17
2021-04-05,PHO,HOU,1, +3,21:13,9,4,7,3,4,0,1,0,1,1,12
2021-04-07,PHO,UTA,0, +4,36:54,6,3,5,3,8,2,1,1,0,2,11
2021-04-08,PHO,LAC,1, -10,20:09,5,2,5,2,3,2,0,0,0,2,6
2021-04-10,PHO,WAS,0, +28,17:04,6,4,3,2,4,1,0,0,1,5,12
2021-04-12,PHO,HOU,0, +6,23:00,7,4,5,3,1,4,3,0,1,2,11
2021-04-13,PHO,MIA,0, +20,29:53,11,6,8,3,5,2,1,0,4,3,15
2021-04-15,PHO,SAC,0, +8,22:23,8,2,5,0,2,3,0,0,1,0,6
2021-04-17,PHO,SAS,0, -26,24:33,8,2,4,1,3,2,0,0,0,1,5
2021-04-19,PHO,MIL,1, +1,19:04,8,5,6,3,1,1,0,0,0,2,13
2021-04-21,PHO,PHI,1, +3,30:01,12,6,9,3,4,3,0,0,0,1,15
2021-04-22,PHO,BOS,1, -13,33:41,11,3,6,0,6,1,1,1,1,2,8
2021-04-25,PHO,BRK,1, -9,33:15,10,4,5,1,2,1,1,0,0,0,9
2021-04-26,PHO,NYK,1, +8,30:16,11,3,11,3,2,2,0,0,0,2,11
2021-04-28,PHO,LAC,0, +8,28:57,7,1,6,0,6,1,0,0,0,1,2
2021-04-30,PHO,UTA,0, +21,26:20,7,1,6,1,6,2,0,0,1,2,6
2021-05-02,PHO,OKC,1, +3,20:38,10,5,6,2,2,0,1,0,1,1,12
2021-05-04,PHO,CLE,1, +16,30:24,9,2,6,1,5,2,1,0,0,1,7
2021-05-05,PHO,ATL,1, -32,19:22,9,1,6,0,2,0,3,0,0,1,2
