Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-25,BOS,BRK,0, -28,3:43,3,1,0,0,2,0,0,0,0,0,2
2020-12-29,BOS,IND,1, +5,20:59,5,3,3,1,3,1,0,0,1,0,7
2021-01-08,BOS,WAS,0, +9,18:05,3,2,1,0,3,1,3,0,1,1,7
2021-01-15,BOS,ORL,0, +27,20:55,6,4,2,0,2,1,2,0,1,2,10
2021-01-17,BOS,NYK,0, -30,17:50,3,2,1,0,5,0,0,0,1,1,8
2021-01-20,BOS,PHI,1, -8,28:08,4,1,2,0,6,2,1,0,1,3,2
2021-01-22,BOS,PHI,1, -12,20:12,7,3,2,0,4,0,1,1,1,0,7
2021-01-24,BOS,CLE,0, +38,10:25,4,2,1,0,4,1,0,0,1,1,5
2021-01-25,BOS,CHI,1, +16,18:07,4,2,3,2,4,0,0,0,0,1,6
2021-01-27,BOS,SAS,1, -4,13:13,3,1,0,0,1,1,2,0,0,0,2
2021-02-02,BOS,GSW,1, +4,20:29,2,1,0,0,0,0,1,0,0,2,2
2021-02-03,BOS,SAC,1, -5,14:56,3,1,1,1,1,1,1,0,1,2,3
2021-02-07,BOS,PHO,1, -9,5:07,0,0,0,0,1,0,0,0,0,0,1
2021-02-11,BOS,TOR,0, +14,8:16,3,1,2,1,1,0,1,0,0,0,3
2021-02-12,BOS,DET,0, -6,12:14,3,3,0,0,4,0,2,1,0,3,7
2021-02-14,BOS,WAS,1, -13,5:18,1,0,1,0,0,0,0,0,0,0,3
2021-02-16,BOS,DEN,0, +13,14:30,4,2,1,1,1,0,1,0,2,4,5
2021-02-17,BOS,ATL,0, -8,23:41,4,2,1,1,3,0,2,0,1,2,9
2021-02-19,BOS,ATL,0, +12,3:51,0,0,0,0,1,0,0,0,1,2,0
2021-02-24,BOS,ATL,1, -15,13:14,3,3,0,0,2,0,1,0,0,2,6
2021-02-26,BOS,IND,0, +6,3:25,1,1,0,0,0,0,0,0,0,0,2
2021-02-28,BOS,WAS,0, +1,33:23,5,4,1,0,2,2,0,0,0,3,8
2021-03-14,BOS,HOU,1, +27,6:45,0,0,0,0,2,0,0,0,0,0,0
2021-03-17,BOS,CLE,1, -7,3:21,0,0,0,0,0,0,0,0,0,1,0
2021-03-22,BOS,MEM,1, -6,5:07,0,0,0,0,0,1,0,0,1,2,0
2021-03-27,CHI,SAS,1, -16,10:28,2,0,1,0,4,0,1,2,2,2,0
2021-03-29,CHI,GSW,1, -14,12:36,3,1,0,0,2,1,1,0,1,1,2
2021-04-06,CHI,IND,1, +16,1:21,1,0,0,0,0,0,0,0,0,0,0
2021-04-16,CHI,MEM,0, -11,1:49,0,0,0,0,0,1,0,0,0,0,0
2021-04-21,CHI,CLE,1, -16,3:54,0,0,0,0,0,0,0,0,0,0,2
2021-04-22,CHI,CHO,0, +17,2:43,1,0,0,0,1,0,0,0,1,0,0
2021-04-28,CHI,NYK,1, -19,1:33,1,0,0,0,0,0,0,0,0,0,0
2021-04-30,CHI,MIL,0, -10,0:56,0,0,0,0,0,0,0,0,0,0,0
2021-05-03,CHI,PHI,0, -12,11:13,4,3,0,0,3,0,1,0,0,1,7
2021-05-06,CHI,CHO,1, +21,7:25,2,0,1,0,1,2,1,0,0,0,3
2021-05-07,CHI,BOS,0, +22,6:07,1,1,1,1,1,0,0,0,0,0,3
2021-05-09,CHI,DET,1, +12,12:40,3,2,0,0,0,0,1,0,1,3,4
2021-05-11,CHI,BRK,0, -8,2:38,0,0,0,0,1,0,0,0,0,1,0
2021-05-13,CHI,TOR,0, +12,12:32,6,4,3,2,0,0,1,0,1,0,10
2021-05-15,CHI,BRK,1, -14,17:15,2,0,1,0,4,1,0,1,0,2,4
2021-05-16,CHI,MIL,0, +6,23:14,5,3,1,0,2,1,4,1,0,3,6
