Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-13,DAL,CHO,1, +11,1:15,1,0,0,0,0,0,0,0,0,0,0
2021-01-17,DAL,CHI,0, -16,1:57,1,0,0,0,1,0,0,0,0,0,1
2021-01-18,DAL,TOR,1, -23,2:04,0,0,0,0,0,0,0,0,0,0,0
2021-01-23,DAL,HOU,0, -25,7:19,3,2,0,0,2,0,0,1,0,2,5
2021-03-13,DAL,DEN,1, +13,1:08,0,0,0,0,1,0,0,0,0,0,0
2021-03-21,DAL,POR,1, +40,6:52,3,0,1,0,2,1,0,0,0,1,0
2021-03-24,DAL,MIN,1, +20,2:16,1,1,0,0,1,0,0,0,0,0,2
2021-03-26,DAL,IND,0, -15,3:34,0,0,0,0,3,0,0,0,0,0,0
2021-03-29,DAL,OKC,1, +21,5:14,2,0,0,0,2,0,0,0,0,1,0
2021-04-03,DAL,WAS,1, +22,1:40,0,0,0,0,0,0,0,0,0,0,0
2021-04-12,DAL,PHI,0, -18,5:02,1,1,0,0,1,0,0,0,0,0,2
2021-04-27,DAL,GSW,1, +30,8:56,5,2,2,1,0,0,0,0,1,1,6
2021-05-04,DAL,MIA,1, +14,1:43,1,0,1,0,0,1,0,0,0,1,0
2021-05-07,DAL,CLE,0, +20,1:57,1,1,0,0,1,0,0,0,1,0,2
2021-05-09,DAL,CLE,1, +27,4:24,0,0,0,0,2,0,0,0,0,0,0
2021-05-11,DAL,MEM,1, -29,7:50,1,0,0,0,0,0,0,0,0,0,0
2021-05-12,DAL,NOP,0, +18,3:27,0,0,0,0,1,1,0,0,0,0,0
2021-05-16,DAL,MIN,1, -15,4:19,2,0,0,0,2,0,0,0,1,0,0
