Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,BRK,GSW,0,26,7.77,3,1,1,0,0,0,1,2,1,0,0,0,0,2,-8
2020-12-25,BRK,BOS,1,28,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
2021-01-01,BRK,ATL,0,-18,3.0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,-4
2021-01-05,BRK,UTA,0,34,7.17,4,2,1,0,1,1,0,5,1,0,0,3,3,5,7
2021-01-13,BRK,NYK,1,7,21.7,7,5,2,1,0,2,2,5,0,0,0,0,1,11,-7
2021-01-16,BRK,ORL,0,7,12.75,3,2,0,0,0,0,1,3,1,0,1,0,1,4,2
2021-01-18,BRK,MIL,0,2,9.67,4,1,1,0,0,0,0,4,2,0,0,0,2,2,-4
2021-01-20,BRK,CLE,1,-12,10.73,8,2,1,0,0,0,4,4,0,1,0,1,1,4,-11
2021-01-22,BRK,CLE,1,-12,15.45,3,1,1,0,2,2,2,3,2,1,1,2,3,4,-4
2021-01-23,BRK,MIA,0,4,11.92,4,1,0,0,2,3,3,5,0,0,1,2,3,4,0
2021-01-25,BRK,MIA,0,13,12.48,4,2,0,0,0,0,1,6,0,0,1,0,3,4,6
2021-01-27,BRK,ATL,1,4,5.42,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0
2021-01-29,BRK,OKC,1,22,19.4,7,4,3,1,1,1,3,10,1,0,0,2,4,10,0
2021-01-31,BRK,WAS,1,-3,7.3,1,0,1,0,0,0,0,2,2,0,0,1,3,0,-11
2021-03-24,BRK,UTA,1,-30,27.93,9,4,4,2,2,2,2,8,1,2,0,1,2,12,8
2021-04-01,BRK,CHO,0,22,4.02,4,2,2,0,0,0,1,1,0,0,1,1,2,4,1
2021-04-04,BRK,CHI,1,-8,0.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
2021-04-07,BRK,NOP,0,28,7.55,6,3,1,0,0,0,1,1,0,0,0,0,2,6,-4
2021-04-10,BRK,LAL,0,-25,5.37,2,1,1,0,2,2,2,4,0,2,0,1,1,4,-3
2021-04-13,BRK,MIN,1,30,3.48,2,0,0,0,0,0,1,1,0,0,0,0,1,0,-1
2021-04-16,BRK,CHO,0,15,2.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
2021-04-29,BRK,IND,1,17,1.08,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2
2021-04-30,BRK,POR,0,-19,3.43,1,0,1,0,0,0,1,2,0,0,0,0,0,0,-1
2021-05-12,BRK,SAS,0,12,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2021-05-15,BRK,CHI,0,14,2.83,1,0,0,0,0,0,1,3,0,0,0,1,3,0,-4
2021-05-16,BRK,CLE,0,14,3.43,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-3
