Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,HOU,POR,1,-2,26.77,10,4,3,0,2,0,1,2,0,2,10
2020-12-28,HOU,DEN,1,-13,31.97,11,5,3,1,5,1,2,0,1,2,14
2021-01-02,HOU,SAC,0,8,9.9,5,2,2,1,2,0,1,0,0,3,5
2021-01-04,HOU,DAL,0,-13,28.98,6,2,3,1,2,1,1,0,0,3,5
2021-01-06,HOU,IND,1,-7,37.15,11,6,5,1,4,0,0,2,2,2,15
2021-01-08,HOU,ORL,0,42,22.87,6,3,2,0,2,0,0,1,1,0,6
2021-01-10,HOU,LAL,0,-18,17.23,6,2,3,1,1,1,1,1,0,3,6
2021-01-12,HOU,LAL,0,-17,10.47,0,0,0,0,1,0,0,1,0,0,0
2021-01-14,HOU,SAS,1,4,30.68,8,4,2,0,3,1,2,0,0,0,9
2021-01-16,HOU,SAS,1,-12,25.27,8,2,3,1,1,4,1,0,3,1,7
2021-01-18,HOU,CHI,1,-5,21.07,5,3,3,1,2,1,4,0,1,3,7
2021-01-20,HOU,PHO,0,-6,22.35,5,2,1,0,6,2,1,1,0,3,9
2021-01-22,HOU,DET,1,1,21.4,12,6,2,0,7,4,2,2,0,3,13
2021-01-23,HOU,DAL,1,25,26.88,7,6,2,2,2,3,1,0,0,3,18
2021-01-26,HOU,WAS,0,19,23.17,7,5,2,1,9,3,2,1,1,4,11
2021-01-28,HOU,POR,0,3,12.5,2,1,1,0,1,1,2,0,0,2,2
2021-01-30,HOU,NOP,1,14,15.73,11,4,2,1,3,0,0,0,0,2,9
2021-02-06,HOU,SAS,0,-5,22.27,7,6,2,2,5,1,0,1,0,2,14
2021-02-08,HOU,CHO,1,-25,31.7,14,4,3,0,5,1,1,1,2,3,9
2021-02-09,HOU,NOP,1,-29,25.03,3,1,1,0,0,0,0,2,0,0,2
2021-02-11,HOU,MIA,0,-7,9.08,1,1,0,0,0,0,0,0,2,1,2
2021-02-13,HOU,NYK,1,-22,22.0,6,2,3,0,4,0,1,0,0,2,11
2021-02-15,HOU,WAS,1,-12,40.97,10,7,3,0,11,1,2,1,0,4,19
2021-02-17,HOU,PHI,1,-5,24.42,7,3,2,1,10,1,1,2,2,2,7
2021-02-22,HOU,CHI,0,-20,26.85,16,9,3,1,9,2,2,0,1,3,22
2021-02-24,HOU,CLE,1,-16,17.1,8,4,3,2,1,0,1,2,0,0,12
2021-02-26,HOU,TOR,1,-11,15.35,8,2,2,0,1,0,0,0,1,4,8
2021-02-28,HOU,MEM,0,-49,22.55,8,4,2,0,4,0,1,0,0,1,11
2021-03-12,HOU,UTA,1,-15,18.17,8,5,0,0,8,1,0,1,0,0,10
2021-03-14,HOU,BOS,0,-27,18.67,2,1,0,0,7,2,0,0,0,2,3
