Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,BOS,MIL,0, +1,22:24,10,6,0,0,8,1,0,0,0,3,12
2020-12-25,BOS,BRK,0, -28,21:25,8,3,0,0,8,0,0,1,1,5,8
2020-12-27,BOS,IND,1, -1,22:17,7,3,0,0,8,0,0,1,3,1,7
2020-12-29,BOS,IND,1, +5,26:48,7,5,0,0,10,1,0,0,1,4,14
2021-01-01,BOS,DET,1, -3,25:35,4,2,0,0,9,2,1,2,3,2,5
2021-01-03,BOS,DET,1, +2,26:32,10,5,0,0,11,1,0,0,1,3,12
2021-01-04,BOS,TOR,1, +12,20:08,1,0,0,0,7,0,1,2,0,2,0
2021-01-06,BOS,MIA,1, +2,19:30,4,3,0,0,7,1,0,0,1,2,9
2021-01-15,BOS,ORL,0, +27,20:29,5,2,0,0,11,1,1,1,2,2,4
2021-01-17,BOS,NYK,0, -30,26:12,5,1,0,0,6,0,1,1,2,1,3
2021-01-20,BOS,PHI,1, -8,20:51,2,1,0,0,9,2,0,0,1,5,2
2021-01-22,BOS,PHI,1, -12,26:01,6,2,0,0,5,0,0,1,0,5,4
2021-01-24,BOS,CLE,0, +38,22:26,7,2,0,0,12,1,0,0,0,3,5
2021-01-25,BOS,CHI,1, +16,17:21,0,0,0,0,10,1,0,0,0,0,0
2021-01-27,BOS,SAS,1, -4,22:41,8,3,1,0,8,0,0,0,0,1,8
2021-01-30,BOS,LAL,0, -1,14:36,1,0,0,0,5,1,1,0,1,0,1
2021-02-02,BOS,GSW,1, +4,25:21,5,5,0,0,8,0,0,0,3,3,13
2021-02-03,BOS,SAC,1, -5,22:20,9,7,0,0,10,0,0,0,1,2,17
2021-02-05,BOS,LAC,1, +4,27:30,6,4,0,0,7,3,0,0,1,3,11
2021-02-07,BOS,PHO,1, -9,20:52,8,3,0,0,12,2,1,0,0,0,6
2021-02-09,BOS,UTA,1, -14,25:41,7,3,0,0,5,3,0,0,0,2,7
2021-02-11,BOS,TOR,0, +14,18:45,6,2,0,0,11,1,0,0,0,1,4
2021-02-12,BOS,DET,0, -6,16:43,5,2,0,0,2,0,0,0,0,0,4
2021-02-14,BOS,WAS,1, -13,18:08,3,1,0,0,8,0,0,0,0,1,2
2021-02-16,BOS,DEN,0, +13,27:58,4,3,1,0,12,0,0,0,2,5,9
2021-02-17,BOS,ATL,0, -8,27:03,8,6,0,0,7,0,3,0,1,2,14
2021-02-19,BOS,ATL,0, +12,27:24,9,8,0,0,5,3,0,1,2,2,17
2021-02-21,BOS,NOP,1, -5,29:58,8,5,0,0,9,0,1,2,0,2,14
2021-02-23,BOS,DAL,1, -3,21:40,6,3,1,0,10,2,1,0,2,3,8
2021-02-24,BOS,ATL,1, -15,25:48,10,5,0,0,13,0,1,0,0,2,13
2021-02-26,BOS,IND,0, +6,18:40,3,3,0,0,5,1,0,0,0,2,6
2021-02-28,BOS,WAS,0, +1,18:39,9,1,0,0,13,3,0,0,2,1,5
2021-03-02,BOS,LAC,0, +5,21:24,10,6,0,0,9,2,0,1,1,0,13
2021-03-04,BOS,TOR,0, +7,24:27,8,6,0,0,3,1,0,0,0,2,13
2021-03-11,BOS,BRK,1, -12,19:11,6,4,0,0,6,2,0,0,2,2,8
2021-03-14,BOS,HOU,1, +27,18:01,8,4,0,0,13,1,1,0,2,1,8
2021-04-07,BOS,NYK,0, +2,22:08,5,2,0,0,8,0,1,3,1,2,7
2021-04-09,BOS,MIN,0, +9,27:31,4,2,0,0,7,1,0,0,1,4,7
2021-04-11,BOS,DEN,1, +18,18:31,6,4,0,0,4,0,1,1,1,3,9
2021-04-13,BOS,POR,1, +1,21:43,6,2,0,0,8,3,0,1,0,2,5
2021-04-15,BOS,LAL,1, +8,24:52,8,6,0,0,6,5,0,1,2,2,14
2021-04-17,BOS,GSW,0, +5,27:37,3,1,0,0,6,2,2,1,2,2,2
2021-04-19,BOS,CHI,0, -6,33:24,6,5,0,0,5,1,0,1,3,2,11
2021-04-22,BOS,PHO,0, +13,33:46,7,3,0,0,12,1,1,0,4,2,9
2021-04-23,BOS,BRK,1, -5,26:04,9,3,0,0,9,0,1,2,0,1,8
2021-04-25,BOS,CHO,1, -21,25:40,4,2,0,0,4,1,0,0,2,0,5
2021-04-27,BOS,OKC,0, -4,18:04,3,1,0,0,4,2,1,0,0,5,2
2021-04-28,BOS,CHO,0, +9,28:54,9,5,0,0,13,3,0,2,2,3,12
2021-04-30,BOS,SAS,0, +3,29:11,8,3,0,0,15,5,0,2,2,4,8
2021-05-02,BOS,POR,0, -10,22:44,6,1,0,0,4,4,0,3,2,1,2
2021-05-07,BOS,CHI,1, -22,26:59,7,3,0,0,10,1,0,2,1,1,8
2021-05-09,BOS,MIA,0, -6,31:55,1,1,0,0,12,0,1,0,1,2,2
2021-05-11,BOS,MIA,0, -8,28:28,4,1,0,0,3,1,2,0,1,4,2
2021-05-12,BOS,CLE,1, -8,28:21,7,5,0,0,7,1,1,1,2,4,10
