Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-01,CHI,MIL,1, -30,7:15,2,0,2,0,1,0,1,0,1,0,2
2021-02-06,CHI,ORL,1, +26,1:29,0,0,0,0,0,0,0,0,0,0,0
2021-02-10,CHI,NOP,0, +13,4:25,0,0,0,0,2,1,0,0,0,0,0
2021-02-12,CHI,LAC,0, -19,14:45,6,3,3,1,3,0,0,0,0,0,7
2021-02-15,CHI,IND,1, +8,8:59,5,0,5,0,2,0,0,0,0,1,0
2021-02-17,CHI,DET,0, +3,5:44,1,0,1,0,1,1,1,1,0,0,0
2021-02-19,CHI,PHI,1, -7,5:39,2,0,2,0,1,0,0,0,0,0,0
2021-02-24,CHI,MIN,0, +7,11:42,1,0,1,0,0,1,0,2,0,0,0
2021-02-26,CHI,PHO,0, -9,11:50,5,4,4,3,5,0,0,3,0,0,11
2021-03-01,CHI,DEN,0, -6,10:51,4,2,4,2,0,1,0,0,0,0,6
2021-03-11,CHI,PHI,0, -22,7:45,1,0,1,0,0,0,0,1,0,0,0
2021-03-14,CHI,TOR,0, +23,1:12,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,CHI,UTA,0, -25,2:12,0,0,0,0,0,0,0,0,0,0,0
2021-03-27,BOS,OKC,1, +17,13:12,5,3,3,2,5,1,0,0,1,1,8
2021-03-29,BOS,NOP,0, -6,13:14,6,4,4,2,4,2,0,1,1,0,10
2021-03-31,BOS,DAL,0, -5,16:08,5,2,2,0,2,0,0,1,0,1,4
2021-04-02,BOS,HOU,0, +16,18:21,3,0,1,0,5,2,0,1,0,3,0
2021-04-04,BOS,CHO,0, +30,9:08,3,1,2,0,2,0,0,1,0,1,2
2021-04-06,BOS,PHI,0, -10,15:26,5,2,3,2,3,1,0,3,0,1,6
2021-04-15,BOS,LAL,1, +8,17:57,4,1,4,1,3,3,0,4,0,1,3
2021-04-17,BOS,GSW,0, +5,5:37,3,1,2,0,1,0,0,0,0,1,3
2021-04-19,BOS,CHI,0, -6,10:04,2,1,1,0,2,0,0,0,0,0,2
2021-04-23,BOS,BRK,1, -5,8:05,2,1,1,0,0,1,0,0,0,1,2
2021-04-25,BOS,CHO,1, -21,3:25,0,0,0,0,0,0,0,0,0,0,0
2021-04-27,BOS,OKC,0, -4,19:58,7,5,1,0,7,4,0,3,1,0,10
2021-05-05,BOS,ORL,1, +36,13:03,2,2,1,1,1,1,0,0,2,3,5
2021-05-07,BOS,CHI,1, -22,10:04,3,2,1,0,2,0,0,1,0,0,4
2021-05-09,BOS,MIA,0, -6,4:14,2,1,1,0,0,0,0,0,0,0,2
2021-05-12,BOS,CLE,1, -8,18:20,5,1,2,1,6,2,1,3,0,2,3
2021-05-15,BOS,MIN,1, +16,30:58,10,6,2,0,6,3,1,4,0,3,12
2021-05-16,BOS,NYK,1, -4,26:25,7,2,5,0,3,0,0,3,1,1,4
