Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIN,DET,0,10,11.77,5,0,4,0,3,0,1,0,0,0,0
2020-12-26,MIN,UTA,1,5,5.25,1,0,0,0,1,0,0,0,0,1,0
2020-12-27,MIN,LAL,1,-36,13.4,6,2,3,1,5,0,0,1,0,1,6
2020-12-29,MIN,LAC,1,-23,18.47,5,1,3,0,4,0,1,0,2,0,2
2021-01-01,MIN,WAS,0,-21,14.33,3,2,2,1,3,0,0,0,0,0,5
2021-01-03,MIN,DEN,0,-15,25.63,10,3,3,0,5,2,0,0,0,0,6
2021-01-05,MIN,DEN,1,-7,34.35,14,10,8,5,8,2,2,1,0,3,25
2021-01-07,MIN,POR,1,-18,21.68,8,3,5,2,6,0,1,0,1,1,12
2021-01-09,MIN,SAS,0,-3,22.65,4,2,2,1,7,0,0,0,1,2,5
2021-01-10,MIN,SAS,0,8,27.17,5,2,3,1,8,2,0,0,0,2,7
2021-01-13,MIN,MEM,0,-11,28.95,7,2,6,1,8,0,0,0,0,0,5
2021-02-08,MIN,DAL,1,-5,8.6,3,1,2,1,4,1,0,0,1,1,5
2021-02-14,MIN,TOR,1,4,9.5,4,2,3,1,3,0,0,0,1,1,5
2021-02-21,MIN,NYK,1,-4,10.5,3,2,3,2,1,0,0,0,0,1,7
2021-02-23,MIN,MIL,1,-27,8.95,5,1,4,0,3,2,0,0,0,0,2
2021-02-27,MIN,WAS,1,-16,3.07,2,0,1,0,2,0,1,0,1,0,2
2021-02-28,MIN,PHO,0,-19,7.1,5,3,1,0,4,1,0,0,0,1,7
2021-03-11,MIN,NOP,1,30,5.8,3,2,1,1,1,1,0,0,0,0,5
2021-03-13,MIN,POR,0,-4,23.88,8,4,2,1,8,0,0,0,0,2,10
2021-03-14,MIN,POR,0,2,22.8,6,2,4,0,4,1,0,0,0,2,5
2021-03-16,MIN,LAL,1,-16,18.68,5,2,3,1,3,1,1,0,2,1,5
2021-03-18,MIN,PHO,1,4,21.78,11,5,5,2,5,0,2,0,0,2,14
2021-03-19,MIN,PHO,1,-12,18.13,2,1,2,1,1,0,0,0,2,1,3
2021-03-22,MIN,OKC,0,-9,14.83,4,2,1,1,4,1,0,0,1,1,5
2021-03-24,MIN,DAL,0,-20,35.27,9,5,5,2,5,1,0,0,1,1,17
2021-03-26,MIN,HOU,0,6,28.3,10,7,5,2,9,1,2,0,0,2,19
2021-03-27,MIN,HOU,0,-22,17.17,4,2,2,1,5,0,0,0,0,1,9
2021-03-29,MIN,BRK,1,-5,7.18,5,1,1,0,4,0,1,0,1,0,2
2021-03-31,MIN,NYK,0,1,4.75,2,0,2,0,1,0,0,0,0,0,0
2021-04-02,MIN,MEM,1,-12,16.1,4,1,3,0,4,2,0,0,0,2,4
2021-04-03,MIN,PHI,1,-9,1.65,0,0,0,0,0,0,0,0,0,0,0
2021-04-05,MIN,SAC,0,10,25.75,10,5,3,1,9,1,1,0,0,0,17
2021-04-07,MIN,IND,1,-4,10.47,0,0,0,0,2,1,0,0,1,0,1
2021-04-09,MIN,BOS,1,-9,19.0,8,3,3,2,4,0,0,0,0,3,10
2021-04-11,MIN,CHI,0,4,7.72,1,0,1,0,1,1,0,0,0,1,0
2021-04-13,MIN,BRK,0,-30,12.13,3,0,3,0,2,0,0,1,1,1,0
2021-04-14,MIN,MIL,0,-25,21.77,6,5,4,3,2,1,1,1,0,0,18
2021-04-16,MIN,MIA,0,8,22.63,10,6,6,2,6,2,0,0,1,1,14
2021-04-18,MIN,LAC,1,-19,18.13,5,1,3,0,2,0,0,0,0,1,2
2021-04-20,MIN,SAC,1,14,16.13,6,2,4,0,2,2,0,0,2,2,5
2021-04-21,MIN,SAC,1,-3,19.13,10,6,5,3,2,0,1,0,0,1,16
2021-04-24,MIN,UTA,1,5,19.45,6,2,4,0,5,1,0,0,1,0,4
2021-04-26,MIN,UTA,0,1,18.13,5,4,3,2,1,0,1,0,1,2,14
2021-04-27,MIN,HOU,1,7,28.48,12,8,6,3,7,1,0,2,0,1,22
2021-04-29,MIN,GSW,0,12,23.28,6,3,4,3,7,0,1,0,0,1,9
2021-05-01,MIN,NOP,0,-4,21.18,13,5,8,3,3,2,1,1,0,0,14
2021-05-05,MIN,MEM,0,-4,24.5,10,3,6,2,3,0,0,0,0,0,11
2021-05-07,MIN,MIA,1,-9,23.53,11,3,7,1,5,0,0,0,1,1,8
2021-05-11,MIN,DET,1,19,14.2,2,1,1,0,5,3,1,0,1,3,2
2021-05-13,MIN,DEN,0,-11,15.47,4,1,3,1,3,0,0,0,2,0,4
2021-05-15,MIN,BOS,0,-16,20.53,6,1,4,1,4,0,0,0,1,2,3
2021-05-16,MIN,DAL,0,15,10.65,2,1,1,0,1,2,0,0,1,3,2
