Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,BOS,MIL,0,1,25.0,15,7,4,4,3,4,2,1,0,1,19
2020-12-25,BOS,BRK,0,-28,21.3,5,0,1,0,1,2,1,0,2,1,0
2020-12-27,BOS,IND,1,-1,21.85,6,0,0,0,3,2,2,0,1,2,9
2020-12-29,BOS,IND,1,5,19.1,7,2,3,2,2,2,1,1,1,3,6
2020-12-30,BOS,MEM,0,19,21.33,6,2,2,0,5,4,4,0,1,1,4
2021-01-01,BOS,DET,1,-3,20.15,5,4,1,1,1,3,2,0,1,3,12
2021-01-03,BOS,DET,1,2,15.63,4,1,1,0,3,2,0,0,0,1,2
2021-01-08,BOS,WAS,0,9,14.68,6,2,1,0,3,2,0,0,2,1,4
2021-01-15,BOS,ORL,0,27,20.88,10,5,4,2,1,2,2,0,1,0,17
2021-01-17,BOS,NYK,0,-30,14.47,4,0,2,0,2,2,1,0,1,2,0
2021-01-20,BOS,PHI,1,-8,17.88,7,2,0,0,3,2,0,0,2,1,5
2021-01-22,BOS,PHI,1,-12,17.88,5,1,3,1,0,2,1,0,1,0,3
2021-01-24,BOS,CLE,0,38,12.43,0,0,0,0,0,1,0,0,2,0,0
2021-01-25,BOS,CHI,1,16,22.3,8,3,1,0,2,4,0,0,0,0,8
2021-01-27,BOS,SAS,1,-4,7.63,3,0,1,0,1,1,0,1,0,1,0
2021-01-30,BOS,LAL,0,-1,15.35,6,2,0,0,1,2,1,0,0,1,4
2021-02-02,BOS,GSW,1,4,17.15,6,3,2,1,0,2,1,0,2,0,9
2021-02-03,BOS,SAC,1,-5,23.13,6,1,3,1,1,1,1,0,1,2,7
2021-02-05,BOS,LAC,1,4,16.68,4,0,3,0,2,4,1,0,1,0,0
2021-02-07,BOS,PHO,1,-9,17.97,8,4,2,2,1,0,1,0,1,0,10
2021-02-09,BOS,UTA,1,-14,2.95,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,BOS,DET,0,-6,22.05,7,3,3,2,0,2,0,0,2,1,8
2021-02-17,BOS,ATL,0,-8,9.0,2,0,1,0,2,0,0,0,3,3,0
2021-02-24,BOS,ATL,1,-15,28.57,9,4,1,0,5,5,1,1,1,2,14
2021-02-26,BOS,IND,0,6,19.08,5,3,1,1,2,2,0,0,3,4,14
2021-02-28,BOS,WAS,0,1,21.53,5,2,2,0,0,1,0,0,2,2,6
2021-03-02,BOS,LAC,0,5,13.27,2,2,1,1,1,1,0,0,0,1,5
2021-03-04,BOS,TOR,0,7,27.2,7,6,2,1,1,4,1,1,1,1,14
2021-03-11,BOS,BRK,1,-12,15.3,1,1,1,1,1,1,0,1,1,0,5
2021-03-14,BOS,HOU,1,27,14.38,4,1,3,1,4,2,1,0,0,2,3
2021-03-16,BOS,UTA,0,-8,9.55,1,0,1,0,3,2,0,0,0,1,0
2021-03-17,BOS,CLE,1,-7,14.55,5,2,0,0,0,1,1,1,2,2,4
2021-03-22,BOS,MEM,1,-6,39.3,12,10,2,2,0,6,0,0,3,3,26
2021-03-24,BOS,MIL,1,-2,16.7,7,5,4,3,3,2,1,0,1,1,15
2021-04-02,MIL,POR,1,18,13.27,1,1,0,0,1,2,0,2,1,0,2
2021-04-03,MIL,SAC,1,1,17.6,5,1,2,0,1,5,0,0,0,0,2
2021-04-06,MIL,GSW,1,-1,15.58,7,5,2,2,1,3,0,0,0,3,15
2021-04-08,MIL,DAL,1,-15,15.5,3,1,1,0,1,3,0,0,2,2,6
2021-04-09,MIL,CHO,0,-8,28.02,11,8,2,1,2,6,1,0,0,1,19
2021-04-11,MIL,ORL,1,37,14.38,1,0,1,0,2,3,0,1,1,0,2
2021-04-14,MIL,MIN,1,25,16.38,6,1,2,1,1,1,0,0,1,0,5
2021-04-15,MIL,ATL,1,11,26.62,8,3,2,0,2,5,0,0,1,2,11
2021-04-17,MIL,MEM,0,-13,13.23,1,0,0,0,3,1,0,0,1,0,0
2021-04-19,MIL,PHO,0,-1,11.92,6,3,2,0,4,0,0,0,1,0,6
2021-04-24,MIL,PHI,0,38,15.18,2,0,0,0,1,8,1,0,2,2,1
2021-04-25,MIL,ATL,1,-7,12.93,2,0,2,0,2,2,0,0,1,1,0
2021-04-29,MIL,HOU,1,-7,10.15,3,2,1,0,1,2,0,0,1,0,6
2021-04-30,MIL,CHI,1,10,23.08,5,3,0,0,0,4,0,0,2,0,11
2021-05-02,MIL,BRK,0,3,10.7,3,1,1,0,2,0,0,0,1,0,2
2021-05-05,MIL,WAS,0,1,22.7,6,4,2,1,2,4,1,0,1,2,11
2021-05-07,MIL,HOU,0,8,8.05,1,1,0,0,0,1,1,0,3,0,2
2021-05-10,MIL,SAS,1,-21,6.62,3,0,1,0,0,1,0,1,1,0,0
2021-05-11,MIL,ORL,0,12,8.42,5,3,0,0,1,0,1,0,1,0,6
2021-05-13,MIL,IND,1,9,9.9,6,3,2,2,1,1,0,0,2,0,8
2021-05-16,MIL,CHI,1,-6,33.63,11,5,3,3,3,7,3,1,2,0,23
