Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NOP,TOR,1,14,28.87,14,8,11,6,3,1,0,0,1,4,23
2020-12-25,NOP,MIA,1,-13,24.4,7,1,5,1,2,0,1,0,1,6,8
2020-12-27,NOP,SAS,0,3,19.93,8,1,6,0,1,1,0,0,0,1,3
2020-12-29,NOP,PHO,1,-25,17.57,5,1,2,0,1,0,1,0,1,3,2
2020-12-31,NOP,OKC,1,33,17.02,4,1,4,1,2,1,0,0,0,1,3
2021-01-02,NOP,TOR,0,4,21.23,4,1,3,0,2,3,0,0,0,0,5
2021-01-04,NOP,IND,0,-2,32.97,9,1,6,1,1,1,0,0,1,1,3
2021-01-06,NOP,OKC,0,-1,8.3,4,1,0,0,0,1,0,0,0,0,2
2021-01-08,NOP,CHO,0,-8,19.1,8,5,7,4,1,1,0,0,1,1,17
2021-01-13,NOP,LAC,1,-5,28.13,11,4,7,2,5,3,1,0,1,1,12
2021-01-15,NOP,LAL,1,-17,25.62,11,4,10,3,6,0,0,0,3,0,12
2021-01-17,NOP,SAC,1,5,18.35,5,3,5,3,0,3,0,0,0,0,14
2021-01-19,NOP,UTA,1,-16,15.27,6,2,4,1,2,0,0,0,0,0,6
2021-01-21,NOP,UTA,1,-11,18.55,6,3,4,2,0,3,1,0,2,3,11
2021-01-23,NOP,MIN,1,-10,11.38,6,0,6,0,1,2,0,0,0,0,0
2021-01-27,NOP,WAS,0,18,12.77,5,2,4,1,1,0,1,0,1,2,5
2021-02-03,NOP,PHO,0,22,17.93,7,3,5,2,1,1,0,0,0,0,10
2021-02-05,NOP,IND,1,1,16.87,5,3,3,3,0,1,0,0,1,1,12
2021-02-06,NOP,MEM,0,9,15.32,8,3,2,2,1,0,0,0,1,0,8
2021-02-09,NOP,HOU,0,29,7.05,5,2,1,0,1,0,0,0,0,0,4
2021-02-10,NOP,CHI,1,-13,18.33,4,2,3,2,1,1,1,0,1,2,6
2021-02-12,NOP,DAL,1,-13,14.62,8,4,5,3,1,2,0,2,1,1,11
2021-02-14,NOP,DET,1,-11,7.83,4,1,2,0,2,0,0,0,0,0,4
2021-02-16,NOP,MEM,1,31,18.97,6,2,6,2,1,1,1,0,3,2,7
2021-02-17,NOP,POR,0,-2,19.77,7,5,6,4,2,2,1,0,1,1,16
2021-02-19,NOP,PHO,0,-18,12.78,5,3,3,1,1,0,0,0,1,2,7
2021-02-21,NOP,BOS,0,5,17.87,4,1,3,0,1,3,0,0,0,3,4
2021-02-24,NOP,DET,0,10,15.03,6,2,4,2,1,4,1,0,2,1,7
2021-02-25,NOP,MIL,1,-4,26.42,9,4,4,1,7,3,0,0,0,0,9
2021-03-01,NOP,UTA,0,5,19.98,8,5,4,3,2,0,0,0,1,1,17
2021-03-03,NOP,CHI,0,-4,28.25,15,9,5,1,2,2,0,0,1,0,22
2021-04-12,DAL,PHI,0,-18,13.82,7,1,3,1,2,2,0,0,1,0,4
2021-04-14,DAL,MEM,1,1,14.83,4,3,4,3,0,1,0,0,4,0,9
2021-04-16,DAL,NYK,0,-8,17.27,6,3,4,2,4,0,1,0,0,2,9
2021-04-18,DAL,SAC,0,-14,4.72,1,0,1,0,0,0,0,0,0,1,0
2021-04-21,DAL,DET,0,10,12.5,5,2,5,2,3,1,0,0,0,0,6
2021-04-22,DAL,LAL,0,5,10.98,5,3,2,1,0,1,0,0,0,0,7
2021-04-24,DAL,LAL,0,15,19.93,4,3,2,2,1,0,0,1,3,1,8
2021-04-27,DAL,GSW,1,30,7.17,2,1,1,1,0,1,0,0,0,0,3
2021-04-29,DAL,DET,1,10,10.9,7,1,5,1,0,3,1,0,1,4,3
2021-05-02,DAL,SAC,0,-12,14.32,3,0,3,0,1,1,0,0,0,2,0
2021-05-04,DAL,MIA,1,14,6.22,2,0,2,0,1,0,0,0,0,0,2
2021-05-09,DAL,CLE,1,27,12.0,6,2,6,2,0,1,0,0,2,2,6
2021-05-11,DAL,MEM,1,-29,2.12,1,0,0,0,0,0,0,0,0,1,0
