Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,DET,MIN,1,-10,31.42,11,4,5,1,0,0,0,1,3,1,1,0,0,9,-14
2020-12-26,DET,CLE,0,-9,42.52,14,9,8,4,6,8,1,10,2,0,3,1,4,28,2
2020-12-28,DET,ATL,1,-8,37.63,20,9,8,3,6,6,1,6,1,0,1,0,4,27,-4
2020-12-29,DET,GSW,0,-10,37.03,21,9,9,3,6,7,3,7,1,3,2,4,5,27,-18
2021-01-01,DET,BOS,0,3,37.43,24,9,9,2,4,5,1,5,0,1,0,2,2,24,6
2021-01-03,DET,BOS,0,-2,34.23,16,8,6,2,4,4,1,6,2,1,0,2,2,22,1
2021-01-04,DET,MIL,1,-10,34.2,25,10,10,4,0,0,0,4,3,1,3,2,2,24,-7
2021-01-06,DET,MIL,1,-15,35.35,20,9,6,2,11,11,4,10,1,0,0,0,2,31,-14
2021-01-08,DET,PHO,0,5,42.27,15,10,5,3,8,11,1,10,2,1,1,3,5,31,21
2021-01-10,DET,UTA,0,-10,36.3,19,9,6,3,7,8,0,4,4,1,1,1,0,28,-4
2021-01-13,DET,MIL,0,-9,35.37,19,7,6,3,5,6,0,4,1,2,1,3,4,22,1
2021-01-16,DET,MIA,1,20,35.08,19,10,6,3,1,2,2,9,6,2,4,0,1,24,22
2021-01-18,DET,MIA,1,-6,33.62,19,10,6,2,5,5,1,4,6,0,1,2,4,27,-2
2021-01-20,DET,ATL,1,-8,41.18,22,12,5,2,6,7,1,6,5,0,0,1,5,32,-10
2021-01-22,DET,HOU,0,-1,34.5,15,4,6,3,10,13,1,8,3,0,2,3,1,21,14
2021-01-23,DET,PHI,0,-4,35.33,19,3,9,2,3,4,2,9,3,2,1,2,5,11,-8
2021-01-25,DET,PHI,0,15,32.35,13,6,6,3,10,10,3,8,5,1,1,0,4,25,23
2021-01-27,DET,CLE,1,-15,32.82,13,7,2,2,10,10,1,3,2,1,0,3,2,26,-1
2021-01-28,DET,LAL,0,15,37.08,14,5,4,2,2,2,0,3,6,0,0,0,1,14,21
2021-01-30,DET,GSW,1,-27,28.43,8,5,5,2,6,8,0,1,1,1,0,2,1,18,-22
2021-02-02,DET,UTA,1,-12,38.45,18,9,5,2,7,8,0,4,4,0,3,1,4,27,-6
2021-02-05,DET,PHO,1,-17,32.4,16,7,6,2,5,6,0,2,1,0,1,1,2,21,-13
2021-02-06,DET,LAL,1,-6,47.77,27,11,11,3,7,7,0,4,6,2,1,1,4,32,-4
2021-02-09,DET,BRK,0,11,37.68,19,11,8,4,6,7,0,5,4,0,1,2,3,32,10
2021-02-11,DET,IND,0,-16,35.68,17,4,6,1,0,0,0,5,3,2,1,4,2,9,-13
2021-02-12,DET,BOS,1,6,35.37,16,5,7,2,3,3,0,5,3,0,2,4,2,15,-3
2021-02-14,DET,NOP,0,11,37.97,15,4,7,3,4,4,0,2,4,0,2,1,2,15,4
2021-02-17,DET,CHI,1,-3,37.8,25,15,9,4,9,9,0,2,0,0,1,3,5,43,-7
2021-02-19,DET,MEM,1,-14,39.4,20,5,10,2,4,5,1,2,3,1,2,4,1,16,-17
2021-02-21,DET,ORL,1,-9,34.55,16,8,6,2,6,6,0,5,4,0,0,2,4,24,-6
2021-02-23,DET,ORL,1,12,33.48,15,6,5,1,4,4,0,7,6,1,0,2,3,17,13
2021-02-26,DET,SAC,0,-3,38.6,17,7,7,2,14,15,0,7,1,0,0,2,3,30,-4
2021-02-28,DET,NYK,0,-19,30.93,19,7,9,2,5,6,0,8,0,1,0,4,1,21,-16
2021-03-11,DET,CHO,1,-3,33.85,24,11,9,2,8,9,3,8,4,1,0,4,2,32,2
2021-03-13,DET,BRK,1,-5,35.6,17,7,5,1,7,8,1,3,2,0,1,3,2,22,-10
2021-03-15,DET,SAS,0,-10,26.72,9,4,3,1,5,10,0,1,2,1,1,2,1,14,-7
2021-03-17,DET,TOR,0,4,34.53,16,7,6,3,6,6,0,2,2,1,3,2,3,23,14
2021-03-19,DET,HOU,1,13,30.15,21,5,7,3,5,5,1,5,2,0,0,2,0,18,10
2021-03-21,DET,CHI,0,-14,35.67,22,9,7,1,7,9,0,1,2,1,0,3,2,26,-10
2021-03-24,DET,IND,1,-5,31.33,20,10,6,2,7,9,1,6,2,1,2,4,2,29,4
2021-03-26,DET,BRK,0,-2,36.98,14,5,4,1,8,10,0,2,3,0,3,2,1,19,4
2021-03-27,DET,WAS,1,-14,19.3,12,4,2,1,0,0,0,3,3,0,0,0,0,9,-22
2021-03-29,DET,TOR,0,14,29.58,12,3,5,1,0,0,0,4,1,1,1,2,4,7,2
2021-03-31,DET,POR,0,-23,33.62,19,11,5,3,5,9,0,2,4,1,3,1,0,30,-4
2021-04-01,DET,WAS,0,29,24.57,14,4,4,1,3,4,0,4,4,0,0,2,1,12,17
2021-04-03,DET,NYK,0,-44,32.02,13,5,6,2,4,5,1,4,2,0,2,2,1,16,-22
2021-04-05,DET,OKC,1,24,23.25,15,7,4,2,5,5,1,5,5,1,0,1,1,21,18
2021-04-06,DET,DEN,1,-15,29.9,18,11,5,3,4,6,2,5,4,0,1,4,1,29,-12
2021-04-14,DET,LAC,0,-2,35.63,21,10,4,1,7,7,0,3,2,1,0,3,4,28,-4
2021-04-17,DET,WAS,1,-21,29.62,14,4,3,0,6,6,0,1,4,1,2,4,2,14,-4
2021-04-21,DET,DAL,1,-10,26.8,16,9,6,3,5,8,0,2,2,0,0,1,4,26,-1
2021-04-24,DET,IND,1,-6,34.33,24,9,8,2,5,7,1,5,4,0,0,2,3,25,-17
2021-04-26,DET,ATL,0,14,27.6,15,6,3,1,5,7,0,4,1,0,1,0,0,18,0
2021-05-08,DET,PHI,1,-14,24.0,10,5,4,0,4,6,0,4,1,0,2,3,1,14,-20
