Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-30,SAS,LAL,0,-14,23.98,8,2,0,0,5,0,0,2,0,5,4
2021-01-01,SAS,LAL,0,-6,23.08,3,0,0,0,5,1,0,3,1,2,0
2021-01-03,SAS,UTA,0,-21,11.37,2,1,0,0,3,0,1,1,0,0,5
2021-01-30,SAS,MEM,0,-17,3.67,1,0,0,0,1,0,0,0,0,1,0
2021-02-01,SAS,MEM,0,-31,6.22,3,2,0,0,2,0,0,1,1,0,4
2021-02-03,SAS,MIN,0,3,7.88,3,2,0,0,3,0,0,1,0,0,5
2021-02-06,SAS,HOU,1,5,16.2,6,4,0,0,3,1,0,3,1,1,12
2021-02-08,SAS,GSW,0,5,10.3,5,1,0,0,2,1,0,2,0,0,2
2021-02-09,SAS,GSW,0,-23,9.8,2,1,0,0,5,1,0,1,0,0,3
2021-02-12,SAS,ATL,1,11,19.73,2,1,0,0,7,0,0,1,2,5,5
2021-02-14,SAS,CHO,1,12,6.65,2,2,0,0,1,0,0,0,0,0,4
2021-02-24,SAS,OKC,1,-3,9.15,4,1,0,0,2,1,0,0,1,0,2
2021-03-01,SAS,BRK,0,-11,1.43,2,0,0,0,1,0,0,0,0,0,0
2021-03-02,SAS,NYK,0,26,18.18,6,3,0,0,2,1,0,1,1,3,8
2021-03-04,SAS,OKC,0,-5,12.32,2,1,0,0,4,3,0,0,1,2,2
2021-03-10,SAS,DAL,1,-11,3.83,0,0,0,0,1,0,0,1,0,0,0
2021-03-12,SAS,ORL,0,27,18.95,6,2,0,0,5,2,1,2,0,1,5
2021-03-14,SAS,PHI,1,-35,23.52,10,6,0,0,9,2,1,2,0,3,17
2021-03-15,SAS,DET,1,10,22.1,7,4,0,0,5,4,0,1,6,4,8
2021-03-17,SAS,CHI,1,7,13.93,2,2,0,0,3,0,0,2,0,1,7
2021-03-19,SAS,CLE,1,6,11.85,4,2,0,0,1,1,0,0,1,1,4
2021-03-20,SAS,MIL,1,-7,17.37,3,3,1,1,3,2,0,1,0,0,7
2021-03-22,SAS,CHO,0,-3,1.83,0,0,0,0,0,0,0,0,1,0,1
2021-03-24,SAS,LAC,0,-33,23.65,5,2,0,0,8,1,1,2,3,2,4
2021-03-25,SAS,LAC,0,-13,2.67,0,0,0,0,0,1,0,0,0,0,0
2021-03-27,SAS,CHI,0,16,16.8,3,2,0,0,5,1,1,0,1,2,8
2021-03-29,SAS,SAC,0,-17,14.77,4,4,0,0,5,1,1,1,2,1,8
2021-03-31,SAS,SAC,0,14,12.57,3,2,0,0,5,0,0,0,1,5,8
2021-04-01,SAS,ATL,0,-5,12.47,2,1,0,0,5,0,0,0,1,2,2
2021-04-05,SAS,CLE,0,-24,12.0,3,2,0,0,3,2,0,2,0,1,4
2021-04-07,SAS,DEN,1,-10,10.68,2,1,0,0,4,0,0,1,0,0,3
2021-04-09,SAS,DEN,1,-2,12.08,2,1,0,0,5,0,1,0,0,0,5
2021-04-11,SAS,DAL,1,2,11.72,2,1,0,0,3,0,0,0,3,3,5
2021-04-12,SAS,ORL,1,23,19.6,9,5,0,0,10,1,1,2,0,2,10
2021-04-14,SAS,TOR,1,-5,17.88,4,2,0,0,6,1,1,4,0,2,6
2021-04-16,SAS,POR,0,-1,17.87,7,7,0,0,4,1,2,0,0,2,15
2021-04-17,SAS,PHO,1,26,27.57,6,6,0,0,13,2,2,1,0,2,13
2021-04-19,SAS,IND,1,15,15.95,6,2,0,0,13,1,0,0,5,1,9
2021-04-21,SAS,MIA,0,-20,13.22,3,3,0,0,5,1,0,2,0,3,6
2021-04-22,SAS,DET,0,15,18.25,2,2,0,0,4,3,0,0,1,0,8
2021-04-24,SAS,NOP,1,2,11.3,1,1,0,0,4,0,0,2,3,3,8
2021-04-26,SAS,WAS,1,3,18.0,7,4,0,0,4,0,2,0,1,4,10
2021-04-28,SAS,MIA,1,-5,13.12,2,1,0,0,3,0,2,0,0,2,2
2021-04-30,SAS,BOS,1,-3,9.2,2,2,0,0,3,0,0,0,1,3,4
2021-05-02,SAS,PHI,0,-2,21.52,8,5,0,0,6,0,0,1,1,2,10
2021-05-03,SAS,UTA,1,-11,12.17,4,2,0,0,2,2,0,1,0,0,6
2021-05-05,SAS,UTA,1,-32,21.98,8,4,1,1,9,1,0,2,0,3,14
2021-05-07,SAS,SAC,1,9,12.9,2,1,0,0,7,0,0,0,0,0,2
2021-05-08,SAS,POR,1,-22,12.83,1,0,0,0,1,1,0,1,1,2,0
2021-05-10,SAS,MIL,0,21,10.47,2,1,0,0,3,0,0,0,0,3,3
2021-05-12,SAS,BRK,1,-12,13.67,4,2,0,0,5,0,0,0,0,2,6
2021-05-13,SAS,NYK,1,-4,13.45,7,3,0,0,9,1,0,2,2,3,8
2021-05-15,SAS,PHO,0,-37,22.97,7,5,0,0,11,1,1,0,2,4,15
2021-05-16,SAS,PHO,0,-2,8.65,4,2,0,0,3,0,0,0,1,0,4
