Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,BRK,GSW,0,26,24.82,17,6,5,3,5,6,1,9,5,2,1,2,1,20,18
2020-12-25,BRK,BOS,1,28,18.57,8,5,2,0,0,0,0,1,3,0,1,7,1,10,1
2020-12-27,BRK,CHO,1,-2,25.82,12,4,7,2,0,0,1,5,4,1,1,0,0,10,-12
2020-12-28,BRK,MEM,0,-5,38.18,29,12,9,2,2,2,1,4,11,5,0,3,5,28,7
2020-12-30,BRK,ATL,0,4,24.22,13,4,6,2,0,0,2,4,8,0,0,1,1,10,11
2021-01-01,BRK,ATL,0,-18,26.55,10,4,3,0,0,0,0,2,3,1,0,2,2,8,-15
2021-01-03,BRK,WAS,0,-1,24.73,13,3,1,0,0,0,1,5,5,0,3,0,3,6,-3
2021-01-05,BRK,UTA,0,34,21.45,18,9,5,2,4,4,0,1,5,2,0,2,1,24,16
2021-01-07,BRK,PHI,0,13,32.27,25,9,5,0,4,10,0,7,10,2,0,1,0,22,23
2021-01-08,BRK,MEM,1,-5,35.73,23,15,9,7,6,6,0,5,6,0,0,5,2,43,8
2021-01-10,BRK,OKC,0,-13,35.53,17,8,6,2,3,3,1,4,6,0,0,2,2,21,-6
2021-01-12,BRK,DEN,0,6,25.8,15,8,5,2,2,3,3,5,6,0,0,1,2,20,-1
2021-03-13,IND,PHO,1,11,26.87,14,5,4,0,3,4,2,7,2,0,0,4,1,13,-3
2021-03-15,IND,DEN,1,-15,29.37,11,6,6,3,2,2,0,2,2,3,0,1,1,17,-14
2021-03-17,IND,BRK,0,-9,33.62,16,6,8,3,4,4,0,3,5,2,0,1,4,19,-12
2021-03-19,IND,MIA,1,27,32.82,11,4,2,0,0,0,0,4,7,1,0,3,1,8,21
2021-03-21,IND,MIA,1,3,34.7,18,5,6,2,1,1,0,3,3,1,0,0,1,13,1
2021-03-22,IND,MIL,1,-27,31.42,17,7,10,3,2,2,2,5,5,2,0,0,2,19,-17
2021-03-24,IND,DET,0,5,33.68,19,10,7,4,4,6,1,6,4,2,0,1,3,28,14
2021-03-26,IND,DAL,1,15,34.68,14,4,7,2,0,0,0,5,3,0,0,0,1,10,3
2021-03-29,IND,WAS,1,-8,31.73,14,3,3,0,2,2,0,5,4,2,0,2,2,8,-6
2021-03-31,IND,MIA,0,-5,32.82,12,5,4,0,4,6,0,1,6,4,0,3,1,14,-8
2021-04-02,IND,CHO,0,-17,34.67,13,5,6,2,4,6,1,4,5,2,0,4,2,16,-24
2021-04-03,IND,SAS,1,6,37.85,19,10,6,2,4,5,1,4,9,3,1,5,1,26,-18
2021-04-06,IND,CHI,0,-16,32.52,18,9,4,2,0,0,0,6,5,0,1,0,3,20,-11
2021-04-07,IND,MIN,0,4,33.87,16,8,3,0,2,3,0,5,4,1,0,1,3,18,-2
2021-04-09,IND,ORL,1,5,28.75,12,4,2,0,3,3,1,7,3,1,1,1,5,11,6
2021-04-11,IND,MEM,1,7,34.72,20,14,6,2,4,4,2,5,3,1,3,1,1,34,12
2021-04-13,IND,LAC,0,-11,36.22,18,7,8,1,11,13,1,6,6,2,3,2,4,26,5
2021-04-14,IND,HOU,1,8,29.98,20,10,9,4,3,3,0,5,1,2,0,6,3,27,-3
2021-04-16,IND,UTA,1,-8,33.85,24,10,10,3,1,1,3,7,2,2,1,1,2,24,-10
2021-04-18,IND,ATL,1,-12,24.23,12,4,4,1,2,3,1,2,3,2,1,2,2,11,-19
2021-04-19,IND,SAS,0,-15,29.3,19,8,5,1,1,2,0,4,2,0,0,2,3,18,-19
2021-04-21,IND,OKC,0,6,40.58,25,11,7,1,5,6,2,5,6,4,1,2,4,28,0
2021-04-24,IND,DET,0,6,30.35,19,9,5,0,7,13,2,7,3,2,1,1,4,25,7
2021-04-25,IND,ORL,1,19,29.53,14,7,2,1,3,3,0,3,6,1,0,0,1,18,25
2021-04-27,IND,POR,0,-21,23.93,14,7,2,0,2,2,0,3,2,0,2,1,0,16,-24
2021-04-29,IND,BRK,0,-17,36.3,24,14,9,5,3,3,0,4,5,0,0,3,4,36,-17
2021-05-01,IND,OKC,1,57,27.0,15,9,6,4,3,3,0,1,6,1,2,1,3,25,47
2021-05-03,IND,WAS,1,-13,38.03,28,11,5,2,9,10,0,7,5,0,2,4,5,33,-16
2021-05-05,IND,SAC,0,-11,29.35,18,5,3,2,2,4,0,3,3,1,0,2,3,14,-14
2021-05-06,IND,ATL,0,7,40.78,20,12,3,2,5,5,0,3,12,2,3,4,1,31,2
2021-05-08,IND,WAS,0,-1,41.0,30,12,9,3,8,11,3,14,8,2,0,5,4,35,3
2021-05-10,IND,CLE,1,9,37.17,19,8,4,2,2,2,0,3,10,1,1,1,3,20,13
2021-05-11,IND,PHI,0,9,39.78,20,8,9,2,6,6,0,7,5,2,0,4,3,24,17
2021-05-15,IND,LAL,0,-7,38.83,23,11,9,2,4,4,1,5,12,2,1,7,3,28,0
2021-05-16,IND,TOR,1,12,21.4,8,4,2,1,4,4,0,1,6,2,0,1,1,13,11
