Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,LAC,LAL,1,7,1.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2020-12-25,LAC,DEN,1,13,4.73,1,1,0,0,0,0,0,0,0,0,0,0,1,2,-4
2020-12-27,LAC,DAL,0,-51,23.85,8,2,2,0,0,0,0,3,2,0,0,1,2,4,-29
2020-12-29,LAC,MIN,0,23,24.83,6,2,0,0,0,0,1,4,3,0,1,1,3,4,3
2020-12-30,LAC,POR,0,23,8.08,1,0,0,0,0,0,2,4,0,0,0,0,1,0,-6
2021-01-01,LAC,UTA,1,-6,6.73,1,1,0,0,0,0,1,3,0,0,0,1,2,2,0
2021-01-05,LAC,SAS,0,-3,8.63,2,0,1,0,0,0,0,3,0,0,1,1,1,0,-20
2021-01-06,LAC,GSW,1,7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2021-01-08,LAC,GSW,1,-10,0.72,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2
2021-01-10,LAC,CHI,0,3,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2021-01-15,LAC,SAC,1,38,30.25,8,5,3,2,1,4,4,9,1,3,0,3,2,13,18
2021-01-17,LAC,IND,0,33,10.93,2,1,0,0,0,0,1,3,0,0,0,1,1,2,7
2021-01-20,LAC,SAC,0,19,2.88,1,0,1,0,2,2,0,3,1,0,0,0,0,2,2
2021-01-22,LAC,OKC,0,14,0.85,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2021-01-24,LAC,OKC,0,8,4.42,1,0,1,0,0,0,1,3,1,0,0,0,0,0,-1
2021-01-26,LAC,ATL,1,-9,33.98,8,4,3,1,1,2,2,9,1,4,0,0,5,10,-12
2021-01-28,LAC,MIA,1,4,26.82,6,3,3,1,5,5,1,3,2,0,1,1,3,12,17
2021-01-29,LAC,ORL,1,26,12.18,5,2,2,0,0,0,1,4,2,1,0,0,2,4,-8
2021-01-31,LAC,NYK,1,14,16.07,3,1,1,0,2,2,0,1,1,0,0,0,1,4,-1
2021-02-03,LAC,CLE,1,22,3.93,1,1,1,1,0,0,0,1,0,0,0,1,0,3,0
2021-02-05,LAC,BOS,0,-4,19.33,3,2,0,0,0,0,2,4,2,0,1,1,0,4,2
2021-02-07,LAC,SAC,0,-3,26.47,8,3,2,0,0,0,3,6,3,2,0,2,3,6,6
2021-02-10,LAC,MIN,1,7,19.8,4,2,0,0,0,0,2,5,2,1,0,0,4,4,-9
2021-02-12,LAC,CHI,1,19,33.0,4,3,0,0,1,1,0,4,2,2,1,2,4,7,21
2021-02-14,LAC,CLE,0,17,20.17,4,1,0,0,6,8,0,6,1,0,0,1,2,8,-8
