Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-04,PHI,CHO,0, +17,1:24,1,1,0,0,0,0,0,0,0,1,2
2021-01-09,PHI,DEN,0, -12,26:11,9,3,1,0,7,2,1,1,4,1,6
2021-01-11,PHI,ATL,1, -18,20:41,7,3,1,0,3,1,0,3,0,1,6
2021-01-14,PHI,MIA,0, +17,2:22,2,1,1,0,0,0,0,0,1,1,2
2021-01-25,PHI,DET,1, -15,4:38,3,1,0,0,0,0,0,0,0,0,2
2021-03-14,PHI,SAS,0, +35,6:22,1,1,0,0,2,0,0,1,0,0,2
2021-03-20,PHI,SAC,0, +24,2:14,1,1,0,0,0,0,0,0,0,0,2
2021-03-25,PHI,LAL,1, +8,8:56,4,2,2,0,3,0,1,0,0,2,4
2021-03-27,PHI,LAC,1, -10,3:50,2,1,0,0,2,0,0,0,1,2,2
2021-03-30,PHI,DEN,1, -9,6:43,2,0,0,0,2,0,2,0,0,4,0
2021-04-01,PHI,CLE,1, +20,3:31,3,1,0,0,2,0,0,0,0,2,2
2021-04-04,PHI,MEM,0, -16,13:02,7,5,1,0,6,2,1,1,1,1,10
2021-04-06,PHI,BOS,1, +10,1:06,0,0,0,0,0,0,0,1,0,0,0
2021-04-09,PHI,NOP,1, -7,0:31,0,0,0,0,0,0,0,0,0,0,0
2021-04-10,PHI,OKC,1, +24,6:04,2,1,0,0,2,1,0,0,0,1,3
2021-04-12,PHI,DAL,1, +18,1:25,0,0,0,0,0,0,0,0,0,0,0
2021-04-16,PHI,LAC,0, +3,2:43,0,0,0,0,2,0,0,0,1,0,0
2021-04-22,PHI,MIL,1, -7,3:31,3,2,0,0,2,0,0,0,0,2,4
2021-04-26,PHI,OKC,0, +31,10:23,7,5,0,0,9,1,1,2,1,0,10
2021-04-28,PHI,ATL,0, +44,6:33,1,1,0,0,0,0,0,2,0,3,2
2021-04-30,PHI,ATL,0, +22,3:23,1,1,0,0,1,0,1,1,1,1,2
2021-05-05,PHI,HOU,1, +20,4:39,1,0,0,0,1,0,1,0,0,0,0
2021-05-08,PHI,DET,0, +14,2:43,1,1,0,0,0,0,0,0,0,0,2
2021-05-13,PHI,MIA,1, -12,3:52,2,2,0,0,3,0,0,0,0,1,4
2021-05-14,PHI,ORL,0, +25,6:58,5,2,0,0,2,2,1,0,0,3,4
2021-05-16,PHI,ORL,0, +11,23:32,13,7,0,0,12,3,1,1,2,3,17
