Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,GSW,BRK,1,-26,24.28,13,7,1,1,6,0,2,0,1,2,19
2020-12-25,GSW,MIL,1,-39,25.05,11,5,4,3,8,0,0,3,2,4,18
2020-12-27,GSW,CHI,1,1,22.62,8,3,1,1,3,0,1,1,1,4,7
2020-12-29,GSW,DET,1,10,21.73,9,3,2,0,6,1,0,2,2,6,6
2021-01-01,GSW,POR,0,-25,19.0,8,2,2,0,5,0,0,2,1,4,8
2021-01-03,GSW,POR,0,15,21.62,9,6,1,0,11,1,0,2,3,4,12
2021-01-04,GSW,SAC,0,31,17.43,9,5,1,0,5,1,0,2,1,2,10
2021-01-06,GSW,LAC,0,-7,18.02,10,5,0,0,4,0,1,1,3,3,10
2021-01-08,GSW,LAC,0,10,15.3,7,3,2,1,6,0,0,2,1,0,9
2021-01-10,GSW,TOR,0,1,16.53,7,5,1,0,7,0,0,0,0,2,10
2021-01-12,GSW,IND,0,-9,26.05,12,4,0,0,9,0,0,2,2,5,8
2021-01-14,GSW,DEN,1,-10,27.38,13,8,0,0,5,2,1,2,1,4,18
2021-01-18,GSW,LAL,1,2,12.85,4,2,0,0,3,0,1,1,5,5,4
2021-01-20,GSW,SAS,0,22,25.33,11,8,0,0,6,4,0,0,0,4,20
2021-01-21,GSW,NYK,0,-15,24.78,9,5,1,0,8,2,1,0,1,1,15
2021-01-23,GSW,UTA,1,-19,24.78,15,7,2,0,5,0,0,2,1,2,15
2021-01-25,GSW,MIN,0,22,15.78,5,4,0,0,4,0,0,2,2,4,13
2021-01-27,GSW,MIN,0,12,24.3,14,9,3,3,6,0,0,2,4,3,25
2021-01-28,GSW,PHO,1,-21,18.52,9,2,0,0,6,1,1,0,1,2,5
2021-01-30,GSW,DET,0,27,17.25,12,5,1,0,9,2,0,0,0,2,11
2021-02-23,GSW,NYK,1,8,15.73,9,6,0,0,2,1,0,0,0,1,14
2021-02-24,GSW,IND,1,4,18.33,8,5,1,1,5,0,1,0,2,6,11
2021-02-26,GSW,CHO,0,9,16.82,10,7,0,0,4,0,0,0,2,1,16
2021-02-28,GSW,LAL,1,-26,25.23,7,2,2,0,8,0,0,1,1,6,5
2021-03-03,GSW,POR,1,-2,11.37,4,3,0,0,2,0,0,0,1,4,6
2021-03-04,GSW,PHO,1,-22,34.58,14,5,2,0,11,2,0,1,0,3,11
2021-03-11,GSW,LAC,1,-26,12.0,7,6,1,1,7,0,0,0,2,1,14
2021-03-14,GSW,UTA,0,12,23.2,11,8,1,0,4,0,0,1,1,3,16
2021-03-15,GSW,LAL,0,-31,27.97,7,3,1,0,8,1,0,0,3,6,7
2021-03-23,GSW,PHI,0,-10,25.85,13,5,1,0,4,2,0,1,0,3,11
2021-03-25,GSW,SAC,1,-22,29.43,8,3,1,0,8,0,0,0,5,4,6
2021-03-26,GSW,ATL,0,-16,26.53,13,7,1,0,5,0,1,0,1,4,18
2021-03-29,GSW,CHI,0,14,27.8,8,6,0,0,5,0,0,4,1,4,12
2021-04-01,GSW,MIA,1,-7,19.48,5,1,0,0,4,1,0,0,5,3,4
2021-04-02,GSW,TOR,1,-53,30.57,11,4,2,1,5,2,0,1,3,4,9
2021-04-04,GSW,ATL,1,-6,17.65,9,4,1,0,5,0,0,0,0,1,8
2021-04-06,GSW,MIL,0,1,25.32,13,6,1,0,10,2,0,1,0,0,13
2021-04-09,GSW,WAS,0,-3,23.3,11,9,1,0,6,1,0,0,1,4,18
2021-04-10,GSW,HOU,0,16,6.12,5,3,0,0,1,0,1,0,0,0,6
