Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-28,DEN,HOU,0,13,3.62,1,0,0,0,0,0,0,0,1,0,0
2021-01-03,DEN,MIN,1,15,0.92,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,DEN,PHI,1,12,2.1,1,0,1,0,0,0,1,1,0,0,0
2021-01-10,DEN,NYK,1,25,2.88,0,0,0,0,1,0,0,0,1,0,0
2021-01-19,DEN,OKC,0,18,4.35,1,0,1,0,2,0,1,0,0,1,0
2021-01-27,DEN,MIA,1,27,2.45,1,0,0,0,1,0,0,0,0,1,0
2021-01-29,DEN,SAS,1,-10,0.57,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,DEN,UTA,0,11,1.65,1,0,0,0,0,0,0,0,0,0,0
2021-02-04,DEN,LAL,1,-21,2.88,0,0,0,0,1,0,0,0,0,0,0
2021-02-06,DEN,SAC,1,-5,5.43,1,0,1,0,2,0,1,1,0,0,0
2021-02-08,DEN,MIL,0,-13,5.75,1,0,1,0,1,0,0,0,0,0,0
2021-02-14,DEN,LAL,0,17,6.28,5,2,3,1,2,0,0,0,1,1,6
2021-02-16,DEN,BOS,1,-13,5.88,2,1,1,0,2,1,1,0,2,0,2
2021-02-19,DEN,CLE,1,17,2.38,0,0,0,0,0,0,0,0,0,0,0
2021-02-21,DEN,ATL,1,-8,0.52,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,DEN,WAS,0,-2,9.72,1,1,0,0,0,1,0,0,1,1,3
2021-02-27,DEN,OKC,1,30,5.87,0,0,0,0,1,1,0,0,0,0,0
2021-03-01,DEN,CHI,1,6,20.42,6,3,3,1,4,1,1,0,1,3,8
2021-03-02,DEN,MIL,1,31,22.42,3,1,1,0,7,1,2,0,2,2,4
2021-03-04,DEN,IND,1,10,15.45,4,3,2,1,3,1,0,0,0,2,7
2021-03-13,DEN,DAL,0,-13,6.12,1,0,1,0,1,0,0,0,0,0,0
2021-03-15,DEN,IND,0,15,1.48,0,0,0,0,0,0,0,0,0,0,0
2021-03-17,DEN,CHO,0,25,7.13,2,1,1,0,0,1,0,0,0,1,2
2021-03-24,DEN,TOR,1,-24,6.73,1,1,1,1,0,1,1,0,0,0,3
2021-03-28,DEN,ATL,0,24,4.98,1,1,1,1,1,0,0,0,0,1,3
2021-04-06,DEN,DET,0,15,3.23,1,1,0,0,0,0,0,0,0,0,2
2021-04-07,DEN,SAS,0,10,3.78,1,0,0,0,0,0,0,0,1,0,0
2021-04-11,DEN,BOS,0,-18,1.55,1,0,1,0,0,0,0,0,0,0,0
2021-04-14,DEN,MIA,0,17,2.6,0,0,0,0,0,0,0,0,0,0,0
2021-04-16,DEN,HOU,1,29,4.27,2,1,0,0,2,2,1,0,0,0,4
2021-04-19,DEN,MEM,0,2,10.55,2,1,1,0,3,0,0,0,2,1,2
2021-04-23,DEN,GSW,1,-21,2.13,1,0,1,0,0,0,0,0,0,0,0
2021-04-24,DEN,HOU,0,13,3.85,1,0,1,0,2,0,0,0,0,0,0
2021-04-26,DEN,MEM,0,24,4.12,1,1,0,0,0,0,0,0,0,0,2
2021-04-29,DEN,TOR,0,10,3.03,1,1,1,1,0,0,0,0,0,0,3
2021-05-05,DEN,NYK,0,16,4.67,3,1,1,0,2,0,0,0,0,0,2
2021-05-08,DEN,BRK,0,-6,15.53,3,1,1,0,2,2,0,0,1,2,3
2021-05-11,DEN,CHO,1,5,7.13,1,0,1,0,1,0,0,0,0,0,0
2021-05-13,DEN,MIN,1,11,17.83,7,5,4,3,3,2,0,0,0,1,14
2021-05-14,DEN,DET,1,13,31.6,9,5,1,0,4,0,2,0,1,0,11
2021-05-16,DEN,POR,1,-16,17.23,5,2,2,0,2,0,0,0,0,1,4
