Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,OKC,CHO,1,2,18.17,8,5,4,2,2,1,2,0,0,3,14
2020-12-28,OKC,UTA,0,-1,18.8,9,3,7,3,2,1,0,1,1,1,9
2020-12-29,OKC,ORL,0,-11,19.9,6,5,4,3,5,2,0,0,1,3,14
2020-12-31,OKC,NOP,0,-33,15.62,7,4,5,2,2,1,0,0,0,0,10
2021-01-02,OKC,ORL,1,9,20.23,6,2,4,1,6,0,0,1,2,1,8
2021-01-04,OKC,MIA,1,-28,13.7,7,1,7,1,2,0,0,0,0,1,4
2021-01-06,OKC,NOP,1,1,20.8,9,6,7,5,3,1,0,1,0,0,18
2021-01-08,OKC,NYK,1,12,14.88,6,2,4,1,4,0,0,1,0,1,5
2021-01-12,OKC,SAS,0,-10,16.57,4,1,3,1,2,1,0,0,0,3,3
2021-01-13,OKC,LAL,0,-29,18.07,9,3,6,1,4,1,0,0,1,3,7
2021-01-15,OKC,CHI,0,2,27.05,9,3,7,2,6,0,0,1,1,1,11
2021-01-19,OKC,DEN,1,-18,14.03,3,1,3,1,0,0,0,0,2,3,3
2021-01-22,OKC,LAC,1,-14,15.7,11,4,9,3,0,1,2,0,1,2,11
2021-01-24,OKC,LAC,1,-8,21.95,12,3,9,1,8,1,0,1,0,2,7
2021-01-25,OKC,POR,1,3,20.55,12,8,10,6,2,0,1,0,0,2,23
2021-01-27,OKC,PHO,1,5,13.57,2,1,1,0,0,0,0,0,1,0,2
2021-01-29,OKC,BRK,0,-22,15.57,4,2,4,2,4,0,0,0,1,1,6
2021-02-01,OKC,HOU,0,-30,12.82,5,2,2,2,5,0,0,0,1,0,6
2021-02-03,OKC,HOU,0,17,16.93,7,2,5,2,5,2,1,0,0,0,8
2021-02-05,OKC,MIN,0,-3,24.53,9,4,6,3,8,0,0,1,2,1,13
2021-02-06,OKC,MIN,0,2,23.53,12,7,5,2,4,1,0,0,1,2,22
2021-02-10,OKC,LAL,1,-1,27.5,10,2,5,0,3,7,0,0,0,1,6
2021-02-12,OKC,DEN,1,-2,22.33,8,3,4,0,8,1,1,0,1,1,7
2021-02-14,OKC,MIL,0,5,19.32,7,3,5,2,3,2,0,0,0,3,8
2021-02-16,OKC,POR,0,-11,17.12,5,4,2,1,5,0,0,0,0,0,11
2021-02-17,OKC,MEM,1,-9,26.15,11,7,9,5,3,0,0,0,1,5,21
2021-02-19,OKC,MIL,1,-13,14.93,9,3,6,0,7,1,0,1,0,0,7
2021-02-21,OKC,CLE,1,16,17.33,11,5,9,3,5,1,0,0,1,2,13
2021-02-22,OKC,MIA,0,-14,20.15,8,3,7,3,2,1,0,0,1,1,11
2021-02-24,OKC,SAS,0,3,17.48,8,3,5,1,5,0,0,1,0,3,7
2021-02-26,OKC,ATL,0,9,16.4,8,4,4,2,3,0,0,1,0,3,10
2021-02-27,OKC,DEN,0,-30,14.63,5,3,4,2,1,0,1,0,0,1,8
2021-03-03,OKC,DAL,1,-9,14.22,3,0,3,0,3,1,0,0,0,1,0
2021-03-04,OKC,SAS,1,5,22.65,13,7,7,4,7,0,0,1,2,2,18
2021-03-14,OKC,MEM,0,6,12.23,4,3,2,1,3,1,0,0,0,1,8
