Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-25,MIA,NOP,0, +13,28:27,7,4,5,2,2,4,2,0,2,2,12
2020-12-29,MIA,MIL,0, -47,24:19,9,5,6,4,2,1,1,0,1,3,14
2020-12-30,MIA,MIL,0, +11,29:39,11,6,6,2,2,0,1,0,1,2,16
2021-01-01,MIA,DAL,1, -10,17:38,8,5,4,2,1,1,0,0,0,5,15
2021-01-04,MIA,OKC,0, +28,17:17,4,3,2,2,1,1,1,0,0,2,8
2021-01-06,MIA,BOS,0, -2,23:34,4,0,1,0,2,4,1,1,0,2,0
2021-01-09,MIA,WAS,1, +4,18:36,8,2,5,1,3,1,0,0,1,2,5
2021-01-27,MIA,DEN,0, -27,17:38,6,3,4,2,1,2,0,0,4,2,8
2021-02-01,MIA,CHO,0, -8,20:25,4,0,4,0,2,0,0,0,0,3,0
2021-02-03,MIA,WAS,0, -3,13:11,5,3,1,1,2,0,1,0,0,3,7
2021-03-29,HOU,MEM,0, -10,14:39,6,1,4,1,2,3,2,0,0,1,3
2021-03-31,HOU,BRK,1, -12,21:23,11,4,5,0,1,1,0,0,2,3,8
2021-04-02,HOU,BOS,1, -16,27:37,12,6,7,2,6,3,0,0,0,1,15
2021-04-04,HOU,NOP,0, -7,26:18,9,2,3,1,0,3,0,0,2,2,5
2021-04-05,HOU,PHO,0, -3,32:56,4,2,4,2,4,3,0,1,1,6,6
2021-04-07,HOU,DAL,0, +9,11:54,3,1,2,1,2,1,0,0,0,1,3
2021-04-09,HOU,LAC,1, -17,25:59,5,2,2,0,3,0,0,0,0,1,6
2021-04-10,HOU,GSW,1, -16,18:07,3,1,3,1,2,1,2,0,1,1,3
2021-04-12,HOU,PHO,1, -6,22:48,4,1,3,1,2,1,0,0,1,1,3
2021-04-14,HOU,IND,0, -8,19:43,5,2,3,1,1,1,2,0,1,2,5
2021-04-16,HOU,DEN,0, -29,21:47,7,2,6,2,2,2,2,0,0,0,6
2021-04-18,HOU,ORL,1, +4,33:46,8,2,3,1,5,3,0,1,4,3,7
2021-04-19,HOU,MIA,1, -22,21:58,3,0,2,0,2,5,1,0,1,0,0
2021-04-21,HOU,UTA,0, -23,19:40,8,2,6,2,3,1,1,0,0,2,6
2021-04-27,HOU,MIN,0, -7,26:45,6,1,5,1,0,1,2,0,3,3,3
2021-05-02,HOU,NYK,0, -25,20:29,5,3,2,1,1,0,1,0,1,0,7
2021-05-05,HOU,PHI,0, -20,25:19,6,1,3,0,3,3,1,0,2,2,2
